"name","ra","dec","orig_ref","DR3Name","RAdeg","DEdeg","errHalfMaj","errHalfMin","errPosAng","SolID","Source","RandomI","e_RAdeg","e_DEdeg","Plx","e_Plx","RPlx","PM","pmRA","e_pmRA","pmDE","e_pmDE","RADEcor","RAPlxcor","RApmRAcor","RApmDEcor","DEPlxcor","DEpmRAcor","DEpmDEcor","PlxpmRAcor","PlxpmDEcor","pmRApmDEcor","NAL","NAC","NgAL","NbAL","gofAL","chi2AL","epsi","sepsi","Solved","APF","nueff","pscol","e_pscol","RApscolCorr","DEpscolCorr","PlxpscolCorr","pmRApscolCorr","pmDEpscolCorr","MatchObsA","Nper","amax","MatchObs","IPDgofha","IPDgofhp","IPDfmp","IPDfow","RUWE","Dup","o_Gmag","FG","e_FG","RFG","Gmag","e_Gmag","o_BPmag","FBP","e_FBP","RFBP","BPmag","e_BPmag","o_RPmag","FRP","e_FRP","RFRP","RPmag","e_RPmag","E(BP/RP)","NBPcont","NBPblend","NRPcont","NRPblend","Mode","BP-RP","BP-G","G-RP","RV","e_RV","n_RV","o_RV","o_RVd","RVNper","RVS/N","RVgof","RVchi2","RVTdur","RVamp","RVtempTeff","RVtemplogg","RVtemp[Fe/H]","Vatmparam","vbroad","e_Vbroad","o_Vbroad","GRVSmag","e_GRVSmag","o_GRVSmag","RVSS/N","VarFlag","PQSO","PGal","PSS","Teff","b_Teff_cds","B_Teff_cdsa","logg","b_logg_cds","B_logg_cdsa","[Fe/H]","b_[Fe/H]_cds","B_[Fe/H]_cdsa","distance","Dist","b_Dist_cds","B_Dist_cdsa","A0","b_A0_cds","B_A0_cdsa","AG","b_AG_cds","B_AG_cdsa","E(BP-RP)","b_E(BP-RP)_cds","B_E(BP-RP)_cdsa","Lib","RAJ2000","DEJ2000","e_RAJ2000","e_DEJ2000","RADEcorJ2000","angDist","l","b","ecl_lon","ecl_lat","pml","pmb","pml_error","pmb_error","parallax_ext_uncert","zpEDR3","plx_corr"
"Gaia EDR3 6732122440610486912",281.698375,-35.6383661111111,"esplin2022","Gaia DR3 6732122440610486912",281.69837504325,-35.6383701485,0,0,54,1636148068921376768,6732122440610486912,472368906,0.023,0.0215,6.6218,0.0261,253.7315,27.114,1.913,0.029,-27.047,0.024,0.1923,-0.0847,-0.1247,-0.1082,-0.4137,-0.1252,-0.2488,0.071,0.097,0.2071,202,0,198,4,5.0843,293.62,0.114,4.0349,31,FALSE,1.277,NA,NA,NA,NA,NA,NA,NA,23,17,0.042025,23,0.02153,20.44,0,0,1.268,0,201,40516.21786,139.755,289.909,14.168295,0.004649,21,7982.58,155.205,51.4327,15.583183,0.021293,20,50490.5,468.592,107.749,12.98987,0.010762,1.443,0,0,0,0,0,2.593313,1.414888,1.178425,49.85,12.49,2,7,0,6,8.7823,NA,NA,763.729,NA,3600,4,-0.25,111,NA,NA,NA,12.451049,0.117755,8,NA,"NOT_AVAILABLE",0,0,1e-06,3482,3476,3491.8,4.0758,4.054,4.1093,-0.4248,-0.4625,-0.3672,0.15101634,149.7374,149.1764,150.3341,0.8445,0.8365,0.8535,0.5514,0.546,0.5572,0.3519,0.3486,0.3555,"MARCS",281.69836457925,-35.63824994075,0.46583,0.390232,0.2152,0.014535,0.0111467064210304,-14.5384753712039,279.720772435631,-12.5930081480379,-24.1095425127411,-12.4068423793619,0.0268589800295485,0.0263741386925206,0.0380725311740195,-0.0517753240559964,6.673575324056
"Gaia EDR3 3222514615024012672",85.6886455555555,1.25704333333333,"prisinzano2022","Gaia DR3 3222514615024012672",85.68885764861,1.25722660669,0,0,126,1636148068921376768,3222514615024012672,84106979,0.113,0.1081,2.9384,0.1622,18.1192,3.067,-2.855,0.129,-1.12,0.117,-0.1437,0.1894,-0.1787,0.1815,-0.4796,0.1306,-0.7246,0.0518,0.4968,-0.1058,367,0,367,0,0.9578,506.24,0.534,3.8992,95,FALSE,1.189,1.189,0.0261,-0.118,0.068,-0.097,0.053,0.056,42,21,0.201503,43,0.01774,0.2935,0,0,1.035,0,348,1327.7314,2.04074,650.612,17.879591,0.003221,40,163.026,7.14936,22.8029,19.8079,0.047696,38,1871.06,9.27286,201.779,16.567673,0.006575,1.532,0,0,0,0,0,3.240227,1.928308,1.311918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999957,3229.4,3222.3,3236.2,4.5731,4.5597,4.5848,0.1842,0.1748,0.1925,0.34032127,333.9082,329.4728,339.349,1.086,1.0514,1.125,0.6608,0.6397,0.685,0.4758,0.4616,0.492,"MARCS",85.68887034092,1.25723158606,2.093373,1.947322,-0.1173,1.00897,203.76700819861,-14.6359970941149,85.3467452805855,-22.1126233459446,-0.377879982476684,-3.04345719845761,0.12530024193777,0.120953914241485,0.228703375129106,-0.0536773957914355,2.99207739579144
"Gaia EDR3 4511790576685591552",279.154715277778,16.7537019444444,"prisinzano2022","Gaia DR3 4511790576685591552",279.15498381317,16.75375473153,0,0,19,1636148068921376768,4511790576685591552,1659200339,0.1202,0.142,1.6341,0.1567,10.4276,7.365,2.515,0.159,-6.922,0.184,0.1334,0.0102,-0.1583,-0.1295,-0.1288,-0.1337,-0.2588,-0.1026,0.1246,0.2799,319,0,318,1,-0.4773,335.52,0,0,95,FALSE,1.2625,1.2625,0.0359,-0.001,0.163,0.059,-0.035,-0.037,36,20,0.276817,38,0.01676,59.28,0,0,0.98,0,330,728.06664,1.61227,451.579,18.531939,0.003657,35,204.173,11.7477,17.3798,19.563545,0.062533,34,980.375,13.4978,72.6322,17.269415,0.015419,1.627,0,7,0,5,0,2.29413,1.031607,1.262524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999806,3515.1,3495.2,3530.3,4.8288,4.8018,4.8537,-0.1851,-0.2419,-0.1297,0.61195767,451.5405,428.7386,476.2242,1.1386,1.0751,1.1981,0.7429,0.7015,0.7828,0.4618,0.4371,0.4846,"MARCS",279.15497213781,16.75378549633,2.562906,2.986263,0.2864,0.944997,46.3710082207031,10.7489975484243,281.442398251471,39.8300415976636,-5.18212088167184,-5.23306145270058,0.196515770786534,0.143242981790294,0.218780886067491,-0.0379861105971898,1.67208611059719
"Gaia EDR3 2206338379431211136",335.727516944444,64.7382925,"prisinzano2022","Gaia DR3 2206338379431211136",335.72728054127,64.73843882969,0,0,55,1636148068921376768,2206338379431211136,572131628,0.0638,0.0588,1.1651,0.0646,18.0355,3.248,-1.71,0.074,-2.761,0.073,0.2278,0.199,-0.2351,-0.3274,0.1324,-0.3188,-0.1798,-0.1264,-0.1083,0.1095,338,0,337,1,3.1023,437.77,0.249,1.6921,31,FALSE,1.29,NA,NA,NA,NA,NA,NA,NA,40,25,0.113345,43,0.02428,13.97,0,0,1.122,0,332,2415.48184,2.97656,811.502,17.229856,0.003063,40,530.912,8.01915,66.2056,18.525986,0.016635,40,2835.97,11.3887,249.017,16.11614,0.00577,1.394,0,1,0,1,0,2.409845,1.296129,1.113716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999751,3684.4,3647.9,3830.8,4.1721,4.0669,4.3758,-0.6531,-0.7357,-0.3844,0.85829544,588.9539,536.7435,623.493,1.6094,1.5415,1.7706,1.0897,1.042,1.2028,0.6095,0.5841,0.6758,"PHOENIX",335.72729834731,64.73845110128,1.201038,1.173053,0.1404,0.639852,107.911008296086,6.29100049805295,27.0659325836236,64.0954162099331,-2.93101646241327,-1.39870064597911,0.0772724861277246,0.0695267062907527,0.0769612826808535,-0.0155642823866158,1.18066428238662
"SPICY 103615",292.475845,18.173217,"kuhn2021","Gaia DR3 4323033262319670912",292.47579234226,18.17323746202,0,0,27,1636148068921376768,4323033262319670912,1072641020,0.0552,0.0614,1.0395,0.0755,13.7612,5.641,-1.176,0.07,-5.517,0.075,0.1443,-0.1006,0.0674,-0.0157,0.0555,-0.0414,-0.0401,-0.1969,-0.1116,0.203,341,0,337,4,1.3025,397.57,0.271,1.9625,31,FALSE,1.231,NA,NA,NA,NA,NA,NA,NA,39,20,0.110882,40,0.007748,162.9,0,0,1.05,0,333,2500.68272,2.90438,861.003,17.19222,0.00303,37,339.45,9.65053,35.1743,19.0116,0.030993,37,3532.9,13.0793,270.114,15.877566,0.005517,1.549,0,2,0,1,0,3.134034,1.81938,1.314654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999999,4409,4389.7,4434.3,4.0807,4.0777,4.0874,0.4034,0.3303,0.4649,0.96200097,564.7485,554.0693,575.6425,4.8305,4.7982,4.8745,3.225,3.2019,3.2571,1.7673,1.7555,1.7835,"MARCS",292.47579784429,18.17326198156,1.114618,1.201942,0.206,0.194593,53.4162994416745,0.0550274409724456,298.058771137471,39.4482966326483,-5.40509141558926,-1.61407923879943,0.0797199471764917,0.0645734467267882,0.0897990534919229,-0.0292152218695391,1.06871522186954
"Gaia DR2 2064453374594194560",309.525981786752,39.7667858761128,"vioque2020","Gaia DR3 2064453374594194560",309.5259828464,39.76678653803,0,0,152,1636148068921376768,2064453374594194560,254628213,0.0073,0.0085,1.3738,0.0104,131.6839,7.768,5.769,0.009,5.202,0.01,-0.2102,-0.1849,0.1267,-0.0345,0.2345,-0.1073,-0.0456,-0.094,-0.2368,-0.1462,387,387,387,0,0.2837,543.91,0.035,1.8791,31,FALSE,1.436,NA,NA,NA,NA,NA,NA,NA,44,25,0.014668,47,0.01489,150.5,0,0,1.009,0,394,207115.13411,541.16,382.724,12.396837,0.003955,45,83502.5,774.295,107.843,13.034293,0.010447,44,177061,1250.1,141.638,11.62759,0.008547,1.258,0,0,0,0,0,1.406703,0.637456,0.769247,-43.48,3.66,1,23,3,18,37.402,9.5439,0,891.365,24.64,4750,3.5,0,222,NA,NA,NA,11.26404,0.033465,20,NA,"VARIABLE",0,0,0.999975,5026.5,5016.1,5039.2,3.2464,3.2321,3.2588,-0.3804,-0.3998,-0.3726,0.72790796,722.1784,716.139,727.8322,0.8818,0.8716,0.8951,0.6865,0.6784,0.6973,0.3665,0.362,0.3725,"PHOENIX",309.52594948829,39.76676341804,0.151035,0.162584,-0.1396,0.003778,79.5406743686486,-0.879080368415127,329.381345170797,55.3578947102862,7.63413358523926,-1.43602555782337,0.0089629718686802,0.0100332016465955,0.0226542058855702,-0.0162782009862869,1.39007820098629
"Gaia DR2 5969673897677714816",254.120891144096,-40.6125504211418,"cantat-gaudin2020","Gaia DR3 5969673897677714816",254.12089104804,-40.61255062844,0,0,92,1636148068921376768,5969673897677714816,1648430634,0.0133,0.0089,0.5807,0.0155,37.3948,1.144,-0.179,0.018,-1.13,0.014,-0.0278,-0.0843,-0.2177,-0.0742,-0.2115,-0.0396,-0.5084,0.0547,0.2003,-0.0796,435,435,435,0,-0.999,781.73,0.079,8.2426,31,FALSE,1.65,NA,NA,NA,NA,NA,NA,NA,50,20,0.025638,52,0.02359,14.82,0,0,0.965,0,426,212317.52069,44.3766,4784.44,12.369903,0.002765,42,133728,96.1078,1391.44,12.522985,0.002897,42,115861,63.6979,1818.91,12.088056,0.003826,1.176,0,0,0,0,0,0.434929,0.153082,0.281847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999978,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7220596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",254.1208920966,-40.61254560622,0.296322,0.230335,-0.0725,0.000791,344.682010914513,1.60604714804725,257.395066755883,-17.8655838241228,-0.994020429175374,-0.566448926543254,0.0150472099079053,0.0171342193865794,0.0316996885879991,-0.0421068665710261,0.622806866571026
"Gaia EDR3 2205214124493505280",337.450494722222,63.3265488888889,"prisinzano2022","Gaia DR3 2205214124493505280",337.45086595157,63.32651500035,0,0,125,1636148068921376768,2205214124493505280,1033407674,0.1155,0.1149,1.2585,0.1328,9.476,1.61,-0.688,0.165,-1.456,0.162,-0.0136,0.116,0.1504,0.044,0.1753,0.0247,0.0261,-0.0491,0.0744,-0.0252,385,9,384,1,2.1069,475.31,0.61,2.4076,31,FALSE,1.225,NA,NA,NA,NA,NA,NA,NA,44,27,0.229863,48,0.006503,65.96,0,0,1.077,0,370,746.1278,1.44923,514.843,18.505333,0.00347,40,98.2433,6.24775,15.7246,20.357786,0.069103,38,1022.58,8.71468,117.34,17.223652,0.009995,1.502,0,1,0,1,0,3.134134,1.852453,1.281681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999972,3470.7,3464.2,3481.4,4.2802,4.2439,4.3174,-0.3112,-0.3561,-0.2299,0.79459673,576.7964,561.3638,598.4241,2.5043,2.4541,2.5508,1.567,1.535,1.596,1.0083,0.9905,1.0246,"MARCS",337.45087276341,63.32652146948,2.620241,2.598735,-0.0284,0.612207,107.804008285366,4.69400029727122,25.4725889677088,62.6627985769707,-1.34208863965595,-0.88998768716564,0.162375780574214,0.16463020950881,0.148522918271782,-0.0187980918255041,1.2772980918255
"SSTGLMA G108.8919+02.0193",342.306602001518,61.5138669977794,"winston2020","Gaia DR3 2207056424943502336",342.30701976738,61.51382885056,0,0,132,1636148068921376768,2207056424943502336,706325793,0.139,0.1361,0.7289,0.1595,4.5691,0.55,0.071,0.175,-0.545,0.169,-0.2051,-0.1756,-0.136,-0.0983,0.2416,-0.1162,-0.0447,-0.078,0.0086,-0.2006,376,0,375,1,0.9899,414.79,0.359,0.57519,31,FALSE,1.33,NA,NA,NA,NA,NA,NA,NA,43,24,0.261461,49,0.02018,41.1,0,0,1.036,0,400,609.37716,1.05532,577.434,18.725151,0.003336,47,171.891,6.88345,24.9717,19.750408,0.043568,44,707.223,6.48522,109.051,17.624004,0.010649,1.443,0,23,0,26,0,2.126404,1.025257,1.101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999998,4041.6,3904.7,4139.5,4.7245,4.4235,4.9449,-1.4326,-1.8996,-1.2758,1.3719302,636.6073,556.198,718.9719,1.6007,1.3904,1.7387,1.1295,0.9757,1.2324,0.6137,0.5311,0.6697,"PHOENIX",342.30701910836,61.51383127395,2.823082,2.720605,-0.1882,0.730335,108.89198495337,2.01934064987364,25.4892189299225,59.7760774405712,-0.183408637067802,-0.518099673662251,0.159413035730126,0.183775635053469,0.178252435867942,-0.0164746094504252,0.745374609450425
"Gaia EDR3 2176464167468136704",316.586645,53.7552605555556,"prisinzano2022","Gaia DR3 2176464167468136704",316.58621560243,53.75519614361,0,0,156,1636148068921376768,2176464167468136704,808968993,0.0356,0.0359,0.8723,0.0411,21.2011,9.571,-6.158,0.046,-7.327,0.044,-0.0108,0.1094,0.0266,-0.1455,0.1151,-0.1582,-0.157,-0.2787,-0.0484,-0.0548,347,0,347,0,-0.4071,345.44,0,0,31,FALSE,1.326,NA,NA,NA,NA,NA,NA,NA,40,26,0.065222,55,0.008987,142.3,0,0,0.984,0,468,4802.41354,2.41154,1991.43,16.483719,0.002809,48,1277.89,6.74658,189.413,17.572306,0.006375,49,5191.66,7.69989,674.252,15.459629,0.004108,1.347,0,1,0,1,0,2.112677,1.088587,1.02409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.99999,6302.4,6291.7,6319.3,4.3054,4.2806,4.3315,1e-04,-0.0113,0.0107,1.1463946,1012.7805,979.5457,1046.1844,3.4736,3.4654,3.4849,2.6441,2.6374,2.6537,1.4464,1.4425,1.4519,"PHOENIX",316.58626189336,53.75522871016,0.737733,0.718042,-0.0394,0.942909,93.3850084309527,4.33499969332452,353.09718141129,64.3661814557321,-9.56511839058705,-0.338235382615968,0.0436632277681985,0.0463197856305749,0.0497370294267359,-0.0204431496695826,0.892743149669583
