"name","ra","dec","orig_ref","DR3Name","RAdeg","DEdeg","errHalfMaj","errHalfMin","errPosAng","SolID","Source","RandomI","e_RAdeg","e_DEdeg","Plx","e_Plx","RPlx","PM","pmRA","e_pmRA","pmDE","e_pmDE","RADEcor","RAPlxcor","RApmRAcor","RApmDEcor","DEPlxcor","DEpmRAcor","DEpmDEcor","PlxpmRAcor","PlxpmDEcor","pmRApmDEcor","NAL","NAC","NgAL","NbAL","gofAL","chi2AL","epsi","sepsi","Solved","APF","nueff","pscol","e_pscol","RApscolCorr","DEpscolCorr","PlxpscolCorr","pmRApscolCorr","pmDEpscolCorr","MatchObsA","Nper","amax","MatchObs","IPDgofha","IPDgofhp","IPDfmp","IPDfow","RUWE","Dup","o_Gmag","FG","e_FG","RFG","Gmag","e_Gmag","o_BPmag","FBP","e_FBP","RFBP","BPmag","e_BPmag","o_RPmag","FRP","e_FRP","RFRP","RPmag","e_RPmag","E(BP/RP)","NBPcont","NBPblend","NRPcont","NRPblend","Mode","BP-RP","BP-G","G-RP","RV","e_RV","n_RV","o_RV","o_RVd","RVNper","RVS/N","RVgof","RVchi2","RVTdur","RVamp","RVtempTeff","RVtemplogg","RVtemp[Fe/H]","Vatmparam","vbroad","e_Vbroad","o_Vbroad","GRVSmag","e_GRVSmag","o_GRVSmag","RVSS/N","VarFlag","PQSO","PGal","PSS","Teff","b_Teff_cds","B_Teff_cdsa","logg","b_logg_cds","B_logg_cdsa","[Fe/H]","b_[Fe/H]_cds","B_[Fe/H]_cdsa","distance","Dist","b_Dist_cds","B_Dist_cdsa","A0","b_A0_cds","B_A0_cdsa","AG","b_AG_cds","B_AG_cdsa","E(BP-RP)","b_E(BP-RP)_cds","B_E(BP-RP)_cdsa","Lib","RAJ2000","DEJ2000","e_RAJ2000","e_DEJ2000","RADEcorJ2000","angDist","l","b","ecl_lon","ecl_lat","pml","pmb","pml_error","pmb_error","parallax_ext_uncert","zpEDR3","plx_corr"
"Gaia DR2 168129282238958080",56.48717328882,29.91252652605,"pavlidou2021","Gaia DR3 168129282238958080",56.48717385348,29.91252583106,0,0,55,1636148068921376768,168129282238958080,729064694,0.0936,0.0815,2.4017,0.1045,22.9814,5.873,3.097,0.12,-4.99,0.111,0.3853,0.3047,0.2151,0.4024,-0.2484,0.5107,0.7117,-0.0207,-0.2062,0.5381,238,0,236,2,0.4,262.76,0.15,0.58256,31,FALSE,1.226,NA,NA,NA,NA,NA,NA,NA,27,15,0.210397,35,0.01568,156.3,1,0,1.017,0,291,2757.0645,4.39825,626.855,17.08625,0.003254,32,367.891,11.6511,31.5757,18.924242,0.034498,31,3823.75,25.8607,147.86,15.791671,0.008259,1.52,0,1,0,3,0,3.132571,1.837992,1.29458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999858,3419.2,3410.4,3427.6,4.4363,4.4193,4.5104,0.1516,0.1368,0.1681,0.41637173,324.8233,291.0006,332.7145,1.6319,1.5958,1.6577,1.0138,0.991,1.0304,0.6929,0.6788,0.7031,"MARCS",56.48715797448,29.91254800721,1.904437,1.72092,0.5173,0.00306,162.261747332776,-19.3296324350416,60.9450785223099,9.79108005377739,5.59876378908787,-1.77351431739315,0.0802281756995997,0.14242345250665,0.124001299131123,-0.0386181804795766,2.44031818047958
"Gaia EDR3 205255250127880960",73.5579261111111,43.4739594444444,"prisinzano2022","Gaia DR3 205255250127880960",73.55756789573,43.47404854856,0,0,87,1636148068921376768,205255250127880960,1714958818,0.0338,0.0225,0.7688,0.0382,20.1291,2.497,-0.761,0.048,-2.378,0.037,0.0391,0.1727,-0.2846,0.0679,-0.1883,-0.0334,-0.55,0.1181,0.1454,0.1988,359,0,358,1,0.1242,366.38,0,0,31,FALSE,1.401,NA,NA,NA,NA,NA,NA,NA,42,20,0.068916,45,0.01102,165.6,0,0,1.004,0,375,10640.40903,16.6387,639.497,15.619971,0.003236,44,3920.11,21.1064,185.73,16.355297,0.006478,45,9960.97,45.1217,220.758,14.752142,0.006203,1.305,0,1,0,0,0,1.603155,0.735326,0.867829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999971,5369.9,5320.6,5423.3,3.8439,3.806,3.8812,-0.3915,-0.4098,-0.3666,1.3007283,1321.2479,1277.1998,1368.434,1.6973,1.6628,1.7364,1.3201,1.291,1.3525,0.7181,0.7016,0.7358,"MARCS",73.5575725543,43.47405911677,0.777688,0.61119,0.1905,0.989277,162.192008558408,-0.13499741954391,77.3109717582862,20.7562637025949,1.36574331477448,-2.09015554400834,0.0373523581064818,0.0477263170995325,0.047122929478622,-0.0335657296304155,0.802365729630416
"Gaia EDR3 5972058326083216384",258.107544722222,-40.7892102777778,"prisinzano2022","Gaia DR3 5972058326083216384",258.10724177239,-40.78925690597,0,0,73,1636148068921376768,5972058326083216384,509064945,0.1909,0.108,2.2288,0.1887,11.8115,19.602,-12.47,0.246,-15.124,0.165,0.4185,-0.0042,-0.3197,-0.3852,-0.0066,-0.324,-0.5586,-0.2654,0.1158,0.2679,498,0,495,3,-0.0723,542.35,0.067,0.026221,95,FALSE,1.2652,1.2652,0.0303,0.025,0.11,0.075,-0.119,-0.046,57,19,0.363301,57,0.02622,172.5,8,0,0.997,0,482,683.67489,1.17104,583.818,18.600243,0.003324,49,126.224,4.09728,30.8069,20.085684,0.035354,50,931.008,8.90346,104.567,17.325512,0.01105,1.546,0,49,0,50,0,2.760172,1.485441,1.274731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999762,3481.1,3461.3,3500.2,4.8628,4.8085,4.8928,-0.2651,-0.3969,-0.1796,0.4486719,387.7415,365.0376,412.3015,1.2997,1.2362,1.3562,0.8417,0.7999,0.8786,0.5254,0.5009,0.5469,"MARCS",258.10731497488,-40.7891896898,4.005451,2.694163,0.289,0.842617,346.376008474393,-0.903002815782961,260.571810538425,-17.738367573235,-19.5666529343369,1.17574187099262,0.221616287332293,0.19653809093672,0.263367895443021,-0.0337377344140908,2.26253773441409
"Gaia EDR3 2191630006234682752",322.334674444444,59.9347969444444,"prisinzano2022","Gaia DR3 2191630006234682752",322.33423191995,59.93496880144,0,0,125,1636148068921376768,2191630006234682752,701297284,0.0308,0.0285,1.0783,0.0321,33.5647,5.175,-4.314,0.039,-2.859,0.038,-0.2078,0.1559,-0.0327,-0.092,0.0696,-0.0615,-0.0389,-0.0068,-0.2033,-0.214,338,0,338,0,1.3728,382.14,0.09,0.8247,31,FALSE,1.388,NA,NA,NA,NA,NA,NA,NA,38,25,0.058602,60,0.005133,179.3,0,0,1.053,0,490,7409.99874,9.82484,754.211,16.012821,0.003109,60,2549.1,13.7142,185.873,16.822575,0.006473,57,7059.47,27.477,256.923,15.125965,0.005669,1.297,0,4,0,2,0,1.696609,0.809753,0.886856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999979,4694,4662.8,4738.8,4.3104,4.2583,4.3407,-0.6609,-0.7083,-0.6003,0.9273857,763.8809,745.541,813.6124,1.3283,1.2951,1.3732,1.0007,0.9747,1.0363,0.5385,0.5242,0.5576,"PHOENIX",322.33427018968,59.9349815084,0.625539,0.606569,-0.2059,1.009828,100.032008154063,6.38299998346924,9.0819586602434,66.321045881917,-5.09362640721459,0.916213416036986,0.0341667807871108,0.0423984798152659,0.0397130946686669,-0.0251784451921208,1.10347844519212
"Gaia EDR3 6116063498576108160",214.385893055556,-40.3156438888889,"luhman2022a","Gaia DR3 6116063498576108160",214.38589269581,-40.31564355383,0,0,73,1636148068921376768,6116063498576108160,1472111716,0.0387,0.0313,10.1633,0.0404,251.4456,44.835,-34.043,0.048,-29.175,0.045,0.1416,-0.1745,-0.2186,-0.1044,-0.1062,-0.0871,-0.0509,-0.1158,0.1952,-0.0703,195,0,193,2,0.9506,252.61,0.156,2.8776,31,FALSE,1.219,NA,NA,NA,NA,NA,NA,NA,23,14,0.068483,29,0.07678,17.93,0,0,1.048,0,239,11897.89995,25.2093,471.965,15.498692,0.003589,27,1398.72,19.7566,70.7973,17.474218,0.015588,27,16855.4,82.8997,203.322,14.181049,0.006542,1.534,0,0,0,0,0,3.293169,1.975527,1.317642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999979,3236.3,3229.8,3353.8,4.6528,4.6457,4.7252,0.205,0.1937,0.4048,0.09839324,99.2644,98.711,100.12,1.1684,1.1469,1.354,0.7104,0.6971,0.828,0.5096,0.5006,0.5958,"MARCS",214.38609112821,-40.31551388523,0.783967,0.725739,-0.0601,0.001559,320.214214801506,19.6488077104077,226.037258029779,-24.9808487237242,-42.0473956130087,-15.5603019303333,0.0466012789507708,0.0464469676098713,0.0499594974988209,-0.0557319968666675,10.2190319968667
"Gaia DR2 3023908116007806208",86.2244254926535,-3.90320494617258,"kounkel2020","Gaia DR3 3023908116009159168",86.22442996859,-3.90320824743,0,0,117,1636148068921376768,3023908116009159168,997455416,0.0221,0.019,2.9379,0.0246,119.5667,1.296,1.27,0.027,0.258,0.021,-0.2043,-0.1138,-0.3625,0.2987,-0.1866,0.3389,-0.6657,0.0917,0.1993,-0.2383,381,381,375,6,4.0725,2331.7,0.188,52.612,95,FALSE,1.6125,1.6125,0.0047,-0.036,-0.065,-0.026,-0.162,0.041,43,20,0.041993,46,0.03105,13.27,0,0,1.153,0,361,962622.91193,333.367,2887.58,10.728726,0.002781,41,566122,181.921,3111.91,10.956267,0.002812,44,574825,149.573,3843.12,10.349056,0.00379,1.185,0,13,0,18,0,0.607211,0.227541,0.37967,22.57,1.04,1,25,1,19,80.555,8.5156,0,958.515,15.22,6000,3.5,0,333,40.8992,5.1684,21,10.190936,0.009428,22,NA,"NOT_AVAILABLE",0,0,0.999389,6497.2,6484.6,6510,4.0944,4.0877,4.1018,-0.1933,-0.201,-0.185,0.34037918,335.7321,333.0853,338.5485,0.0654,0.0593,0.0721,0.0571,0.0517,0.0629,0.0308,0.0278,0.0339,"MARCS",86.22442430913,-3.90320939262,0.448103,0.355132,-0.2578,0.019992,208.764561742934,-16.5725567703441,85.7607338525807,-27.2869418243742,0.350273986322946,1.24770675020432,0.0247142744028812,0.0236475081295913,0.0440913064063129,-0.029913165689203,2.9678131656892
"HD 249845",89.8832,32.8869,"xu2021","Gaia DR3 3451075289709480064",89.88323269994,32.88692284123,0,0,116,1636148068921376768,3451075289709480064,1680708171,0.034,0.0266,1.2173,0.0393,30.9679,3.094,0.088,0.036,-3.092,0.026,-0.3076,0.3803,-0.215,0.2191,-0.3881,0.0938,-0.6477,0.0119,0.3804,-0.1533,355,355,353,2,1.2215,3752.1,0.274,94.585,95,FALSE,1.7024,1.7024,0.0073,-0.038,0.101,0.069,0.127,0.126,40,17,0.053087,41,0.03914,179.5,0,0,1.046,1,363,5659902.81868,8589.5,658.933,8.805345,0.00321,39,3981720,18968.8,209.909,8.838367,0.005877,39,2664880,7750.07,343.852,8.683701,0.004925,1.174,0,37,0,39,0,0.154666,0.033022,0.121644,-13.3,2.31,1,15,2,11,149.41,4.8431,0,968.316,30.37,6500,2.5,-5,555,86.1041,68.6,11,8.592556,0.00851,11,164.762,"NOT_AVAILABLE",0,0,0.999893,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82149017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",89.88323223253,32.88693658539,0.591482,0.440678,-0.1639,0.128584,178.108498366855,4.57550760818359,89.9005692328429,9.44766031350472,2.73352631563045,-1.44777134995682,0.0308184458411798,0.0319722285106038,0.0973097223012235,-0.0387556754689205,1.25605567546892
"Gaia EDR3 2061511944779732992",304.995845277778,39.885655,"prisinzano2022","Gaia DR3 2061511944779732992",304.99581451871,39.8854528918,0,0,172,1636148068921376768,2061511944779732992,1227896321,0.0709,0.0844,0.7926,0.0888,8.9278,4.405,-2.514,0.099,-3.617,0.103,-0.0538,0.045,-0.2618,0.0119,0.1029,0.0068,-0.2715,-0.0737,-0.0655,0.0056,440,0,440,0,0.5147,479.88,0.187,0.44661,31,FALSE,1.242,NA,NA,NA,NA,NA,NA,NA,50,29,0.144635,53,0.02405,151.6,0,0,1.017,0,445,1182.14567,1.63158,724.54,18.00569,0.003136,51,177.078,7.2885,24.2955,19.718132,0.044776,50,1583.5,10.2528,154.446,16.748852,0.007981,1.489,0,2,0,1,0,2.96928,1.712442,1.256838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.99998,4009.5,3916.4,4066.9,4.0997,4.0694,4.13,-0.1001,-0.222,0.0309,1.2616705,730.5025,706.2469,757.0107,3.5299,3.4005,3.6212,2.3158,2.2234,2.3805,1.3233,1.2784,1.3545,"PHOENIX",304.99582908025,39.8854689675,1.60033,1.667081,0.0045,0.732534,77.5990084776667,2.00999883092509,323.837716676957,56.9694777520893,-4.40477420434535,0.029141186211101,0.10200028806503,0.10002970176228,0.0996083791867922,-0.0183694677858239,0.810969467785824
"Gaia EDR3 238321516142793088",54.6170977777778,43.2560744444444,"prisinzano2022","Gaia DR3 238321516142793088",54.61742924224,43.25614719172,0,0,64,1636148068921376768,238321516142793088,1380347562,0.1452,0.1198,0.9222,0.1676,5.5036,4.343,-1.744,0.21,-3.977,0.172,0.2442,0.1391,0.2883,0.0719,0.0698,0.0144,0.5481,0.158,0.1156,0.0938,322,0,321,1,1.4438,381.58,0.464,1.6645,31,FALSE,1.229,NA,NA,NA,NA,NA,NA,NA,38,19,0.297585,44,0.006952,114,0,0,1.057,0,354,970.34302,1.69827,571.37,18.220053,0.003347,39,152.559,11.8064,12.9217,19.879948,0.08407,38,1325.26,10.479,126.468,16.942144,0.00938,1.523,0,0,0,1,0,2.937803,1.659895,1.277908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999806,3467.3,3415.1,3494.2,4.2597,4.1122,4.3162,0.0473,-0.3402,0.1002,1.0843635,672.3981,657.6933,690.7235,1.7242,1.6793,1.7694,1.0844,1.0556,1.1141,0.7178,0.7011,0.7346,"MARCS",54.61743988434,43.25616486849,3.315568,2.68617,0.0938,0.90766,152.42300892981,-9.8489976045431,62.7089288960457,23.1114646237484,0.999360617568227,-4.22603163216435,0.188654182110543,0.195175817078351,0.187275257186381,-0.0198420530744525,0.942042053074452
"Gaia EDR3 6005184554145085952",228.797798888889,-40.2036938888889,"luhman2022a","Gaia DR3 6005184554145085952",228.79779947837,-40.20369374505,0,0,134,1636148068921376768,6005184554145085952,1353373201,0.025,0.0245,6.6761,0.0367,181.7593,29.362,-19.506,0.038,-21.946,0.033,-0.531,-0.2036,0.0397,0.0195,0.0984,0.0904,0.1426,-0.2797,0.1392,-0.1874,421,0,419,2,-0.6292,421.9,0,0,31,FALSE,1.242,NA,NA,NA,NA,NA,NA,NA,48,16,0.055809,51,0.0154,56.39,1,0,0.977,0,424,11415.73853,13.797,827.408,15.543607,0.003052,49,1683.32,14.2043,118.508,17.273125,0.009577,48,15327.4,41.403,370.201,14.284223,0.004784,1.49,0,0,0,0,0,2.988902,1.729518,1.259384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.998258,3380.3,3374.8,3406.6,4.5486,4.5054,4.566,0.1426,0.135,0.1601,0.14978805,151.0684,145.6931,163.3965,1.0909,1.0768,1.1458,0.6837,0.6746,0.719,0.4685,0.4628,0.4922,"MARCS",228.79791299041,-40.20359620566,0.613331,0.531359,-0.1946,0.001701,330.558757518692,14.8330889743877,237.311072404389,-21.3252732086404,-28.2716882680174,-7.92607055709506,0.0335656087138721,0.037501332131902,0.0454884639309762,-0.0522945453187463,6.72839454531875
