"name","ra","dec","orig_ref","DR3Name","RAdeg","DEdeg","errHalfMaj","errHalfMin","errPosAng","SolID","Source","RandomI","e_RAdeg","e_DEdeg","Plx","e_Plx","RPlx","PM","pmRA","e_pmRA","pmDE","e_pmDE","RADEcor","RAPlxcor","RApmRAcor","RApmDEcor","DEPlxcor","DEpmRAcor","DEpmDEcor","PlxpmRAcor","PlxpmDEcor","pmRApmDEcor","NAL","NAC","NgAL","NbAL","gofAL","chi2AL","epsi","sepsi","Solved","APF","nueff","pscol","e_pscol","RApscolCorr","DEpscolCorr","PlxpscolCorr","pmRApscolCorr","pmDEpscolCorr","MatchObsA","Nper","amax","MatchObs","IPDgofha","IPDgofhp","IPDfmp","IPDfow","RUWE","Dup","o_Gmag","FG","e_FG","RFG","Gmag","e_Gmag","o_BPmag","FBP","e_FBP","RFBP","BPmag","e_BPmag","o_RPmag","FRP","e_FRP","RFRP","RPmag","e_RPmag","E(BP/RP)","NBPcont","NBPblend","NRPcont","NRPblend","Mode","BP-RP","BP-G","G-RP","RV","e_RV","n_RV","o_RV","o_RVd","RVNper","RVS/N","RVgof","RVchi2","RVTdur","RVamp","RVtempTeff","RVtemplogg","RVtemp[Fe/H]","Vatmparam","vbroad","e_Vbroad","o_Vbroad","GRVSmag","e_GRVSmag","o_GRVSmag","RVSS/N","VarFlag","PQSO","PGal","PSS","Teff","b_Teff_cds","B_Teff_cdsa","logg","b_logg_cds","B_logg_cdsa","[Fe/H]","b_[Fe/H]_cds","B_[Fe/H]_cdsa","distance","Dist","b_Dist_cds","B_Dist_cdsa","A0","b_A0_cds","B_A0_cdsa","AG","b_AG_cds","B_AG_cdsa","E(BP-RP)","b_E(BP-RP)_cds","B_E(BP-RP)_cdsa","Lib","RAJ2000","DEJ2000","e_RAJ2000","e_DEJ2000","RADEcorJ2000","angDist","l","b","ecl_lon","ecl_lat","pml","pmb","pml_error","pmb_error","parallax_ext_uncert","zpEDR3","plx_corr"
"SPCM J223954.76+751415.9",339.978198055556,75.2377769444444,"getman2017","Gaia DR3 2279579082337505152",339.97840278451,75.23756933477,0,0,151,1636148068921376768,2279579082337505152,218076875,0.0252,0.0263,1.2336,0.0273,45.1777,3.645,-2.901,0.032,-2.207,0.029,-0.0711,0.0033,-0.072,-0.2866,0.2779,-0.365,0.2403,-0.2678,0.1426,-0.1557,327,0,323,4,1.8792,376.22,0.106,1.7779,31,FALSE,1.3,NA,NA,NA,NA,NA,NA,NA,37,25,0.047734,41,0.008838,30.32,0,0,1.074,0,349,12565.14317,13.2732,946.657,15.439448,0.002984,37,2867.9,20.6787,138.689,16.694633,0.008311,39,14640.5,51.7172,283.087,14.334006,0.005385,1.393,0,1,0,0,0,2.360627,1.255185,1.105442,-17.93,8.38,2,16,1,14,4.0977,NA,NA,944.901,NA,5500,4.5,0,0,NA,NA,NA,13.671559,0.166009,15,NA,"VARIABLE",0,0,0.999982,9136.9,9009.2,9355.4,4.112,4.0822,4.1785,-1.4255,-1.4802,-1.125,0.8106355,814.0006,777.6527,832.7047,5.3641,5.3325,5.4035,4.2111,4.182,4.2499,2.344,2.3286,2.3643,"A",339.9784533798,75.23757914474,0.506921,0.463752,-0.122,0.770629,114.71676844821,14.5062965891912,51.8339879584032,67.2054264231822,-3.61535117662105,-0.46463520067337,0.0292136675703954,0.0318050566276248,0.034724941312655,-0.0337661470037386,1.26736614700374
"HD 147889",246.35127,-24.46572,"wilking2008","Gaia DR3 6049140417677195136",246.3513036323,-24.46582822051,0,0,104,1636148068921376768,6049140417677195136,297391944,0.0227,0.0113,7.3337,0.025,293.8103,25.909,-2.98,0.031,-25.737,0.02,-0.3997,0.0852,-0.2522,0.2312,0.0301,0.2622,0.1966,-0.198,-0.1307,-0.1626,524,524,521,3,3.3257,1364,0.138,18.53,31,TRUE,1.435,NA,NA,NA,NA,NA,NA,NA,59,16,0.043793,61,0.05011,21.03,0,0,1.105,0,530,18724014.73877,5606.75,3339.55,7.50637,0.002774,58,7531060,5094.16,1478.37,8.146401,0.002885,57,16940400,10568,1602.99,6.675585,0.00384,1.307,0,0,0,0,0,1.470816,0.640032,0.830784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999993,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13635682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",246.35131818249,-24.46571383478,0.499062,0.316577,-0.1821,0.404881,352.857312736294,17.0436059450042,248.559328915804,-2.76954930052975,-21.2337293813915,-14.8459524974935,0.0233849628139617,0.0285332002093985,0.060339155964597,-0.0163973222864682,7.35009732228647
"Gaia EDR3 1958985229960767232",335.944610277778,44.2958116666667,"prisinzano2022","Gaia DR3 1958985229960767232",335.94420435731,44.29578521543,0,0,152,1636148068921376768,1958985229960767232,1504864253,0.1026,0.119,1.9022,0.1523,12.4888,4.041,-1.594,0.133,-3.714,0.15,-0.2134,-0.0339,-0.0825,-0.0328,0.1124,-0.0531,-0.1319,-0.1007,-0.1151,-0.2074,523,0,519,4,0.9949,659.92,0.514,1.5999,95,FALSE,1.1777,1.1777,0.0327,-0.057,0.034,0.102,-0.157,-0.037,60,27,0.21873,73,0.0362,20.76,0,0,1.031,0,596,629.92831,0.95048,662.748,18.689138,0.003206,58,102.974,6.4951,15.8541,20.306725,0.06854,64,834.35,9.98645,83.5482,17.444525,0.013534,1.488,0,2,0,2,0,2.8622,1.617586,1.244614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999901,3312.1,3305.9,3320.6,4.4526,4.43,4.4835,-0.3802,-0.4203,-0.3266,0.52570707,520.7886,508.5078,533.9672,1.1484,1.1002,1.1962,0.7226,0.6919,0.7533,0.4812,0.4623,0.5002,"MARCS",335.94421425375,44.29580172104,2.144439,2.420672,-0.2011,1.050252,96.9590090544022,-11.0030002647625,0.886756811770948,49.1818000784694,-3.35942421307863,-2.24697595816711,0.123838958358809,0.157648064982115,0.212651520878504,-0.0390823982008072,1.94128239820081
"Gaia EDR3 4257381869709292800",276.048225,-4.97266888888889,"prisinzano2022","Gaia DR3 4257381869709292800",276.048247121,-4.97272502382,0,0,55,1636148068921376768,4257381869709292800,449125420,0.1345,0.1281,2.1022,0.1774,11.8509,10.258,-0.408,0.17,-10.249,0.134,0.1278,0.1422,-0.0923,-0.0526,-0.42,0.0706,-0.3271,-0.3485,0.2217,0.1141,185,0,184,1,-0.2948,208.67,0.36,1.0044,31,FALSE,1.183,NA,NA,NA,NA,NA,NA,NA,21,14,0.242351,21,0.008104,43.59,0,0,0.983,0,183,1195.3544,2.69696,443.222,17.993626,0.003687,17,76.921,3.94387,19.504,20.62343,0.055737,17,1895.93,12.0294,157.608,16.55334,0.007857,1.65,0,0,0,1,0,4.070089,2.629805,1.440285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999999,3261,3220.6,3319.8,4.441,4.1563,4.4904,0.3947,-0.2452,0.5573,0.47569212,276.1451,229.4318,296.1048,2.9374,2.5093,3.7596,1.7136,1.4594,2.2162,1.2637,1.108,1.5313,"MARCS",276.04824894209,-4.97267947087,2.736687,2.196171,0.1099,0.217101,25.3870084529078,3.76299702392543,276.34885551207,18.3334146967678,-9.26616190031199,-4.39848935854192,0.149848347494952,0.156209707614579,0.198290805987755,-0.0275110631323688,2.12971106313237
"Gaia DR2 4326790499701610752",251.338548202401,-13.799562513562,"kounkel2020","Gaia DR3 4326790499701610752",251.33855237066,-13.79956337312,0,0,105,1636148068921376768,4326790499701610752,154285496,0.0573,0.0299,8.0251,0.0697,115.1309,25.387,-10.131,0.083,-23.278,0.057,-0.4132,-0.1197,-0.1085,0.3657,0.2149,0.2653,-0.0406,-0.1146,-0.1296,-0.1814,543,0,543,0,2.8249,1081.1,0.332,11.528,31,FALSE,1.179,NA,NA,NA,NA,NA,NA,NA,63,19,0.11656,65,0.008575,176,0,0,1.087,0,524,6523.95341,46.9559,138.938,16.15109,0.008286,54,586.004,20.2117,28.9934,18.41879,0.037552,53,10560.1,246.623,42.8188,14.688726,0.025637,1.708,0,1,0,0,0,3.730064,2.2677,1.462364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124609046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",251.33859873599,-13.79945991405,1.328272,0.91202,-0.205,0.014898,4.73670468963112,20.0658815797729,251.689921926409,8.46139573548927,-24.7747950353457,-5.54183868013242,0.0608027237126881,0.0802560202671332,0.0837317669848866,-0.0503283912212015,8.0754283912212
"SPCM J225614.90+624530.2",344.062091111111,62.7584130555556,"getman2017","Gaia DR3 2207269425262484736",344.06197332285,62.75819662293,0,0,138,1636148068921376768,2207269425262484736,1590081956,0.0435,0.044,1.1756,0.0498,23.5994,2.14,0.049,0.056,-2.14,0.056,-0.1103,0.1091,-0.0036,-0.2016,-0.0718,-0.2058,0.1565,-0.046,0.0142,-0.117,395,0,393,2,-1.1862,379.33,0,0,31,FALSE,1.242,NA,NA,NA,NA,NA,NA,NA,45,28,0.083142,52,0.01216,3.27,2,0,0.957,0,435,3068.18018,2.89988,1058.04,16.970165,0.00294,46,449.919,5.84218,77.0121,18.705706,0.014372,45,4068.3,11.4854,354.215,15.724364,0.004866,1.473,0,3,0,2,0,2.981341,1.73554,1.245801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999985,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85062945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",344.06197284433,62.75820613327,0.900294,0.889341,-0.0979,0.80297,110.178248658254,2.77442521707085,28.4350522349572,59.9647135822976,-0.874279635045766,-1.95387720180779,0.0533995881859615,0.0584849038775794,0.0597493315337767,-0.0246834882509629,1.20028348825096
"Gaia EDR3 2064258524814556928",308.337562222222,39.4943519444444,"prisinzano2022","Gaia DR3 2064258524814556928",308.3376349598,39.49464644619,0,0,2,1636148068921376768,2064258524814556928,145636617,0.0609,0.0818,0.6884,0.0821,8.3874,4.05,-0.324,0.081,-4.037,0.105,0.0214,0.0498,6e-04,-0.0597,0.1842,-0.1046,-0.3115,-0.1055,0.0113,0.0551,424,0,424,0,0.5135,530.33,0.246,1.0373,95,FALSE,1.2242,1.2242,0.0218,-0.074,0.099,0.153,-0.076,-0.125,48,26,0.148494,52,0.007969,63.54,0,0,1.017,0,436,1393.83437,1.49402,932.943,17.82684,0.002991,45,204.691,9.87216,20.7342,19.560795,0.052439,45,1826.78,12.1075,150.881,16.593678,0.008128,1.457,0,8,0,8,0,2.967117,1.733955,1.233162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999998,4580.6,4509.8,4647.2,4.1693,4.1608,4.1774,-0.7576,-0.7875,-0.7044,1.4526439,687.1102,668.7902,709.8117,4.6389,4.5627,4.7064,3.1746,3.1127,3.2293,1.7655,1.7285,1.7984,"MARCS",308.33763682694,39.49466439,1.301339,1.705399,0.062,1.079291,78.7730085215418,-0.311000991498471,327.721388963448,55.5166097489033,-3.43642284485452,-2.14320858326061,0.0994534064067962,0.0877212628390894,0.116640848071627,-0.0618038313554651,0.750203831355465
"Gaia EDR3 6049031325511198080",246.078115,-24.8132661111111,"luhman2022a","Gaia DR3 6049031325511198080",246.07811518665,-24.81326571321,0,0,107,1636148068921376768,6049031325511198080,464220888,0.09,0.0479,6.1946,0.1019,60.7961,23.173,-9.269,0.113,-21.238,0.077,-0.4688,-0.0871,-0.2182,0.1739,0.1599,0.1766,0.2228,-0.209,-0.0966,-0.2218,463,0,462,1,-0.42,653.88,0.368,5.3116,31,FALSE,1.171,NA,NA,NA,NA,NA,NA,NA,53,15,0.162294,57,0.006816,80.41,0,0,0.985,0,467,2939.85123,2.67585,1098.66,17.016554,0.002927,50,181.412,7.6969,23.5695,19.691877,0.04615,51,4727.42,10.9694,430.963,15.561336,0.004542,1.67,0,2,0,0,0,4.130542,2.675323,1.455218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,1,3552.5,3549,3558.5,4.0406,4.0237,4.0614,-0.5696,-0.5906,-0.5338,0.16143093,164.8206,162.5948,167.8847,5.6927,5.6774,5.7067,3.4266,3.4166,3.4361,2.1492,2.1451,2.1538,"MARCS",246.07816057362,-24.8131713205,1.832725,1.229125,-0.2372,0.001557,352.413192074254,16.9978854707183,248.369847243213,-3.1524664267316,-22.0094225387542,-7.24929820814242,0.0839694943400281,0.107921842183499,0.120909954244879,-0.0509252936397353,6.24552529363974
"Gaia EDR3 205549850523247616",75.5995075,43.9643530555555,"prisinzano2022","Gaia DR3 205549850523247616",75.59939459355,43.96446904266,0,0,84,1636148068921376768,205549850523247616,46738038,0.0826,0.0589,0.8874,0.0976,9.0909,2.738,0.41,0.125,-2.707,0.102,0.077,-0.0283,-0.1853,0.0658,-0.1819,-0.0473,-0.4899,-0.0109,0.0562,0.3374,409,0,407,2,-0.5133,458.54,0,0.00991,95,FALSE,1.2617,1.2617,0.0196,-0.005,0.026,0.158,-0.141,-0.13,47,19,0.186946,49,0.01272,158.2,0,0,0.981,0,412,1671.72685,1.69189,988.08,17.629454,0.002966,46,340.406,6.90933,49.2675,19.00855,0.022214,43,2005.56,13.9108,144.173,16.492308,0.008426,1.403,0,0,0,1,0,2.516243,1.379097,1.137146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999997,4571.6,4510.5,4638.8,4.2847,4.2421,4.3179,-1.3741,-1.397,-1.3236,1.1268876,722.9666,696.9932,750.4935,3.3664,3.3012,3.4381,2.3775,2.3255,2.4341,1.3126,1.283,1.345,"PHOENIX",75.59939206076,43.96448107489,2.021023,1.666883,0.3278,0.509846,162.724008529298,1.32600254812633,78.9398313327786,21.0764166774154,2.39285571394728,-1.33048507403498,0.0905146984766194,0.133551822749398,0.140950827203537,-0.0568813282599659,0.944281328259966
"Gaia DR2 5332100987730443520",134.367115752776,-42.9664727157861,"kounkel2020","Gaia DR3 5332100987730443520",134.36711936348,-42.96647691885,0,0,7,1636148068921376768,5332100987730443520,807180172,0.0177,0.0212,1.0982,0.0237,46.3644,7.626,-5.293,0.023,5.49,0.024,0.0465,-0.0709,-0.1428,-0.0136,0.3165,0.0089,-0.1337,0.0819,-0.0572,0.0586,386,0,383,3,2.1148,446.57,0.066,0.97484,31,FALSE,1.395,NA,NA,NA,NA,NA,NA,NA,44,28,0.033672,48,0.02673,130.1,0,0,1.077,0,411,15835.28522,46.6883,339.17,15.188302,0.004224,46,5677.21,73.0423,77.725,15.953204,0.014245,47,14880.8,124.652,119.379,14.316331,0.009849,1.298,0,0,0,0,0,1.636873,0.764902,0.871971,36.11,11.06,2,18,2,15,4.124,NA,NA,917.177,NA,5500,4.5,0,0,NA,NA,NA,13.971635,0.261804,18,NA,"VARIABLE",0,0,0.999848,5268.7,5255.7,5281.3,4.1676,4.1644,4.1701,-0.8833,-0.9079,-0.8568,0.910581,797.2866,792.4107,805.4941,1.7068,1.695,1.7172,1.3181,1.3086,1.3268,0.7182,0.7125,0.7232,"PHOENIX",134.36715151124,-42.96650132065,0.372831,0.384629,0.0579,0.017872,264.312567564085,1.69429887031805,157.798158755133,-56.4506470617886,-7.61305807706706,-0.444179823049111,0.0228935523943385,0.0241015613346453,0.031417459535638,-0.0333519423267513,1.13155194232675
