"name","ra","dec","orig_ref","DR3Name","RAdeg","DEdeg","errHalfMaj","errHalfMin","errPosAng","SolID","Source","RandomI","e_RAdeg","e_DEdeg","Plx","e_Plx","RPlx","PM","pmRA","e_pmRA","pmDE","e_pmDE","RADEcor","RAPlxcor","RApmRAcor","RApmDEcor","DEPlxcor","DEpmRAcor","DEpmDEcor","PlxpmRAcor","PlxpmDEcor","pmRApmDEcor","NAL","NAC","NgAL","NbAL","gofAL","chi2AL","epsi","sepsi","Solved","APF","nueff","pscol","e_pscol","RApscolCorr","DEpscolCorr","PlxpscolCorr","pmRApscolCorr","pmDEpscolCorr","MatchObsA","Nper","amax","MatchObs","IPDgofha","IPDgofhp","IPDfmp","IPDfow","RUWE","Dup","o_Gmag","FG","e_FG","RFG","Gmag","e_Gmag","o_BPmag","FBP","e_FBP","RFBP","BPmag","e_BPmag","o_RPmag","FRP","e_FRP","RFRP","RPmag","e_RPmag","E(BP/RP)","NBPcont","NBPblend","NRPcont","NRPblend","Mode","BP-RP","BP-G","G-RP","RV","e_RV","n_RV","o_RV","o_RVd","RVNper","RVS/N","RVgof","RVchi2","RVTdur","RVamp","RVtempTeff","RVtemplogg","RVtemp[Fe/H]","Vatmparam","vbroad","e_Vbroad","o_Vbroad","GRVSmag","e_GRVSmag","o_GRVSmag","RVSS/N","VarFlag","PQSO","PGal","PSS","Teff","b_Teff_cds","B_Teff_cdsa","logg","b_logg_cds","B_logg_cdsa","[Fe/H]","b_[Fe/H]_cds","B_[Fe/H]_cdsa","distance","Dist","b_Dist_cds","B_Dist_cdsa","A0","b_A0_cds","B_A0_cdsa","AG","b_AG_cds","B_AG_cdsa","E(BP-RP)","b_E(BP-RP)_cds","B_E(BP-RP)_cdsa","Lib","RAJ2000","DEJ2000","e_RAJ2000","e_DEJ2000","RADEcorJ2000","angDist","l","b","ecl_lon","ecl_lat","pml","pmb","pml_error","pmb_error","parallax_ext_uncert","zpEDR3","plx_corr"
"J203245.94+415728.0",308.191422300923,41.9577971989238,"winston2020","Gaia DR3 2067957350651062016",308.19142812243,41.95792220749,0,0,169,1636148068921376768,2067957350651062016,560248551,0.0436,0.0548,1.1143,0.0614,18.1339,5.41,5.132,0.061,-1.712,0.068,-0.093,0.1721,0.0355,-0.0856,0.1626,-0.1352,0.0598,-0.2929,-0.0116,-0.0508,352,0,351,1,1.6123,408.01,0.106,0.39622,31,FALSE,1.361,NA,NA,NA,NA,NA,NA,NA,41,24,0.095393,47,0.01408,121.8,0,0,1.061,0,374,2802.14232,1.93419,1448.75,17.068642,0.002855,43,885.808,10.3878,85.2735,17.970194,0.013035,41,2803.08,10.4888,267.246,16.128807,0.005549,1.316,0,1,0,1,0,1.841387,0.901552,0.939835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999994,4745.2,4712.5,4781.3,4.6738,4.6595,4.6839,-0.3813,-0.4474,-0.3172,0.8974244,665.5197,646.7716,683.3608,1.6789,1.6418,1.7158,1.2521,1.223,1.2815,0.6741,0.6583,0.6896,"MARCS",308.19139745092,41.95792981431,0.983324,1.093196,-0.0406,0.450301,80.687825484157,1.24295054462984,329.55068178976,57.7683118941217,1.66999582922746,-5.14582179349061,0.0640642539528013,0.0651212051905596,0.0733323566451352,-0.0159445916211953,1.1302445916212
"MPCM J172024.57-355823.0",260.102403055555,-35.97306,"broos2013","Gaia DR3 5975283949600125696",260.1025329877,-35.97311612573,0,0,77,1636148068921376768,5975283949600125696,406055798,0.133,0.0897,0.6734,0.1405,4.7935,4.941,-3.52,0.204,-3.467,0.123,0.202,-0.0335,-0.2356,-0.2954,-0.0897,-0.3361,-0.3867,-0.0987,0.1191,0.4269,245,0,240,5,-1.0739,221.28,0,0,31,FALSE,1.325,NA,NA,NA,NA,NA,NA,NA,28,14,0.29934,28,0.01346,4.014,0,0,0.949,0,236,1136.01939,1.68732,673.267,18.048903,0.003193,27,291.934,13.5325,21.5727,19.175331,0.050406,26,1208.79,12.8297,94.2177,17.042019,0.012128,1.321,0,1,0,2,0,2.133312,1.126429,1.006884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999999,4167.6,4092,4221.5,4.7898,4.7613,4.8122,-0.8465,-0.972,-0.7238,1.4850016,595.1569,571.4902,627.3087,1.6109,1.5021,1.7002,1.1468,1.0653,1.2143,0.62,0.5756,0.6569,"PHOENIX",260.10255232123,-35.97310071807,3.297451,2.004963,0.4418,0.4291,351.20587634109,0.616967195737014,261.798131248364,-12.8151556034259,-4.85646765660758,0.908411195618208,0.183898193345155,0.151414842351693,0.157094276597122,-0.0188088547264194,0.692208854726419
"Gaia DR2 2017993515093097984",291.543979182331,20.8871317060836,"kounkel2020","Gaia DR3 2017993515093097984",291.54398315312,20.88713536968,0,0,5,1636148068921376768,2017993515093097984,1254588288,0.0471,0.0628,2.1131,0.0889,23.7809,6.904,0.997,0.073,-6.832,0.084,0.0497,-0.0901,-0.0675,-0.2129,0.2163,-0.2759,-0.169,-0.1878,-0.1254,0.0055,567,0,565,2,0.7444,658.05,0.186,0.83629,31,FALSE,1.213,NA,NA,NA,NA,NA,NA,NA,65,23,0.118551,67,0.01023,98.07,0,0,1.022,0,566,1825.04642,1.96257,929.926,17.534182,0.002992,61,201.56,4.37423,46.0789,19.577534,0.023727,60,2569.5,6.33118,405.849,16.223272,0.00463,1.518,0,1,0,0,0,3.354261,2.043352,1.310909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999994,3423.9,3414.7,3529.5,4.0623,4.0208,4.2402,-0.1256,-0.1851,0.3123,0.47323835,448.9057,435.3179,461.4256,2.5483,2.4355,2.603,1.5625,1.4912,1.5971,1.0524,1.0256,1.0706,"MARCS",291.543978412,20.887165732,1.172029,1.363498,0.0266,0.01877,55.3829517974073,2.12155872877206,297.627783234758,42.2820741257857,-5.54197639555965,-4.11785510078483,0.0818274429666045,0.0754272469174573,0.103751224955105,-0.028771078986456,2.14187107898646
"SPCM J000156.47+672343.2",0.485311944444444,67.3953561111111,"getman2017","Gaia DR3 528569942808458496",0.48540878795,67.3951953468,0,0,133,1636148068921376768,528569942808458496,565753340,0.1588,0.157,1.6354,0.1857,8.8059,2.443,-1.717,0.192,-1.737,0.201,-0.1441,0.144,-0.2419,-0.0241,0.0612,-0.0429,-0.2076,-0.1831,0.0855,-0.2124,374,8,373,1,3.3041,524.64,0.875,3.1976,95,FALSE,1.2273,1.2273,0.0464,-0.014,0.038,-0.009,-0.114,0.115,43,25,0.301994,49,0.01439,34.41,0,0,1.123,0,420,546.52457,1.24373,439.426,18.843342,0.003701,45,90.0555,7.82467,11.5092,20.452267,0.094378,44,745.428,9.93157,75.0564,17.566881,0.014951,1.529,0,1,0,2,0,2.885386,1.608925,1.276461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.99999,3590.5,3557,3620.9,4.3037,4.2481,4.3906,-0.5786,-0.6119,-0.4061,0.6114712,537.0775,502.6923,552.0937,3.595,3.5255,3.7089,2.2879,2.2421,2.3663,1.3428,1.3212,1.3761,"PHOENIX",0.48542864326,67.39520306714,3.106822,3.250587,-0.2042,0.594063,118.189252914958,4.98050831190726,43.925686296817,57.7475783143721,-2.01777812353349,-1.37616475910034,0.184155347135751,0.20821097022326,0.259187262276863,-0.0359369613219956,1.671336961322
"Gaia EDR3 1974736627382540288",328.162051388889,47.3243305555555,"prisinzano2022","Gaia DR3 1974736627382540288",328.16201420579,47.32435292564,0,0,129,1636148068921376768,1974736627382540288,1741015225,0.1341,0.1324,1.2477,0.1684,7.408,5.092,-4.328,0.176,-2.682,0.18,-0.0583,0.1144,-0.1018,-0.1091,0.0337,-0.1106,-0.0364,-0.1574,0.0271,-0.0299,446,0,442,4,1.063,544.5,0.668,2.0371,31,FALSE,1.172,NA,NA,NA,NA,NA,NA,NA,51,28,0.251168,65,0.005561,8.684,0,0,1.035,0,529,549.55062,1.00929,544.494,18.837347,0.003401,45,45.9957,4.20764,10.9315,21.18175,0.099361,54,905.356,8.01222,112.997,17.355848,0.010325,1.731,0,0,0,1,0,3.825901,2.344402,1.481499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80147475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",328.16204258386,47.32436484561,2.837589,2.888755,-0.0196,0.12132,94.3200089077126,-5.37000027194754,356.460067104159,54.7628661595785,-5.05179769475111,0.635647741526218,0.174964838318957,0.18100636826372,0.188166474877912,-0.0184407762294957,1.2661407762295
"Gaia EDR3 4086025864427750656",282.779779722222,-19.6185811111111,"prisinzano2022","Gaia DR3 4086025864427750656",282.77991126141,-19.61855014042,0,0,128,1636148068921376768,4086025864427750656,356945721,0.0429,0.037,1.3217,0.0437,30.2153,6.112,-1.646,0.067,-5.887,0.042,-0.5988,0.2874,-0.1855,0.1793,-0.6222,0.1615,-0.2668,-0.0293,0.0794,-0.7516,122,0,113,9,0.0797,111.29,0,0,31,TRUE,1.483,NA,NA,NA,NA,NA,NA,NA,14,10,0.10497,16,0.02098,112.7,1,0,1.002,0,117,24363.65069,86.022,283.226,14.72051,0.004721,11,11921.2,276.181,43.1646,15.147739,0.025308,10,20903.5,646.651,32.3258,13.947348,0.033799,1.347,4,0,6,0,0,1.200392,0.427229,0.773163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75660133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",282.77991902679,-19.61852397779,1.088411,0.67757,-0.7507,0.459775,15.2980085725898,-8.73900296650214,282.046569854443,3.28785817955987,-6.01686952482043,-1.0785945119864,0.0249561787908322,0.075034586292989,0.0600544739032277,-0.0386395471364243,1.36033954713642
"MPCM J181958.70-134705.8",274.994583888889,-13.7849588888889,"broos2013","Gaia DR3 4152601052967539328",274.99468660135,-13.7850113094,0,0,47,1636148068921376768,4152601052967539328,599827435,0.0433,0.0422,0.7092,0.0501,14.163,7.531,-4.714,0.049,-5.873,0.041,0.324,-0.1071,-0.2345,-0.2392,-0.3808,-0.1321,-0.4746,-0.2031,0.0561,0.2639,201,0,201,0,0.9192,222.17,0,0,31,FALSE,1.416,NA,NA,NA,NA,NA,NA,NA,23,15,0.075353,23,0.03915,5.355,0,0,1.045,0,200,7440.79864,4.26085,1746.32,16.008318,0.002825,18,2860.96,17.2426,165.924,16.697262,0.007114,19,6748.64,16.7443,403.042,15.174854,0.004641,1.291,0,0,0,0,0,1.522408,0.688944,0.833464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999995,5843.4,5806.2,5874.1,4.3892,4.3562,4.4194,-0.5014,-0.5415,-0.4657,1.4100394,910.8286,869.2545,956.4634,1.8112,1.7882,1.8312,1.437,1.4177,1.4544,0.7864,0.7752,0.7962,"MARCS",274.99470817448,-13.7849852071,0.799438,0.679986,0.2739,0.40568,17.1083461427796,0.551477458423101,274.918982793269,9.56907830087726,-7.4024641176929,1.3847201833833,0.0477753487331031,0.0424207031227722,0.0607448560022833,-0.0325660424115084,0.741766042411508
"Gaia EDR3 5823996063069135360",234.410133055556,-65.8661205555556,"prisinzano2022","Gaia DR3 5823996063069135360",234.41015449252,-65.86603909642,0,0,22,1636148068921376768,5823996063069135360,22965441,0.0878,0.115,1.0663,0.1692,6.3036,4.65,-3.456,0.102,-3.11,0.163,0.2574,0.0312,-0.2777,0.0042,-0.0588,0.0086,0.0364,-0.048,0.143,0.2936,733,0,732,1,2.6474,899.45,0.614,2.7051,95,FALSE,1.3112,1.3112,0.0307,0.034,-0.042,0.027,-0.182,-0.168,84,26,0.231433,91,0.02163,26.4,0,0,1.07,0,780,599.66463,0.936205,640.527,18.742596,0.003235,79,125.184,3.75633,33.3262,20.094667,0.032698,81,755.418,4.46075,169.348,17.552427,0.007442,1.468,0,3,0,2,0,2.54224,1.352072,1.190168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.99979,3558.7,3535.5,3594.4,4.7404,4.6835,4.7988,-0.3973,-0.507,-0.23,0.93782234,546.8144,501.7827,633.5755,1.1322,1.0827,1.1828,0.7481,0.7148,0.7825,0.4543,0.4347,0.4742,"MARCS",234.41019206065,-65.86602527314,1.653366,2.604201,0.2891,0.294946,318.83700828691,-8.26800176370653,250.394961006864,-44.8318575626451,-4.62895283103943,-0.434547682092595,0.144326091429336,0.127055024822834,0.236195838753836,-0.0281167992514716,1.09441679925147
"Gaia EDR3 5541504484781356928",123.091265555556,-37.0510816666667,"prisinzano2022","Gaia DR3 5541504484781356928",123.0913409866,-37.05124039618,0,0,21,1636148068921376768,5541504484781356928,31474167,0.1353,0.1531,2.3216,0.1769,13.1225,11.029,-7.546,0.175,8.044,0.196,0.1136,0.0313,-0.1941,-0.0279,0.1092,-8e-04,-0.2274,0.1089,-0.0178,0.0464,448,0,445,3,1.5883,552.15,0.604,1.4193,95,FALSE,1.2165,1.2165,0.0442,-0.123,-0.023,-0.119,-0.038,0.107,52,29,0.275295,54,0.005598,170.7,0,0,1.053,0,456,490.76001,0.9645,508.823,18.960194,0.003485,46,61.3898,4.68924,13.0916,20.868301,0.08298,45,696.561,6.50277,107.118,17.640497,0.010818,1.544,0,1,0,0,0,3.227804,1.908108,1.319696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999987,3002.9,2963.9,3028.6,4.9527,4.7493,4.9863,0.1724,0.1396,0.2639,0.43073744,257.687,237.1106,337.2125,0.4026,0.1029,0.6221,0.2367,0.0602,0.3661,0.1833,0.0467,0.2773,"MARCS",123.09138300839,-37.05127614582,2.832126,3.175599,0.047,0.611145,254.413008520763,-1.66799868824362,139.37526740153,-54.9629130353711,-10.8674534744719,-1.88321718879942,0.186013976398899,0.185579634077314,0.24692470725894,-0.0334161306079621,2.35501613060796
"SPCM J223822.52+751133.8",339.593858888889,75.1927288888889,"getman2017","Gaia DR3 2279558221679561600",339.59383641535,75.19271090161,0,0,157,1636148068921376768,2279558221679561600,1193992028,0.1127,0.1217,2.752,0.1279,21.5204,6.55,6.499,0.146,0.817,0.16,-0.0774,-0.0405,-0.0321,-0.1833,0.3007,-0.2289,-0.0982,-0.231,-0.105,-0.0973,326,0,324,2,0.5406,456.1,0.741,4.9508,31,FALSE,1.147,NA,NA,NA,NA,NA,NA,NA,37,25,0.225574,42,0.0306,55.69,0,0,1.02,0,363,1046.49169,1.54711,676.419,18.138027,0.003189,29,59.5161,8.84393,6.7296,20.901957,0.161361,40,1912.8,9.98557,191.557,16.543718,0.006812,1.885,0,29,0,40,0,4.358238,2.763929,1.594309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3633721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",339.59372340118,75.19270727003,2.334444,2.567862,-0.077,0.067975,114.605784960729,14.5165323441633,51.6551951184962,67.28829384352,6.02415591417055,-2.57177672471075,0.142919002939018,0.162757975530899,0.143069638785265,-0.0285294196704354,2.78052941967044
