"name","ra","dec","orig_ref","DR3Name","RAdeg","DEdeg","errHalfMaj","errHalfMin","errPosAng","SolID","Source","RandomI","e_RAdeg","e_DEdeg","Plx","e_Plx","RPlx","PM","pmRA","e_pmRA","pmDE","e_pmDE","RADEcor","RAPlxcor","RApmRAcor","RApmDEcor","DEPlxcor","DEpmRAcor","DEpmDEcor","PlxpmRAcor","PlxpmDEcor","pmRApmDEcor","NAL","NAC","NgAL","NbAL","gofAL","chi2AL","epsi","sepsi","Solved","APF","nueff","pscol","e_pscol","RApscolCorr","DEpscolCorr","PlxpscolCorr","pmRApscolCorr","pmDEpscolCorr","MatchObsA","Nper","amax","MatchObs","IPDgofha","IPDgofhp","IPDfmp","IPDfow","RUWE","Dup","o_Gmag","FG","e_FG","RFG","Gmag","e_Gmag","o_BPmag","FBP","e_FBP","RFBP","BPmag","e_BPmag","o_RPmag","FRP","e_FRP","RFRP","RPmag","e_RPmag","E(BP/RP)","NBPcont","NBPblend","NRPcont","NRPblend","Mode","BP-RP","BP-G","G-RP","RV","e_RV","n_RV","o_RV","o_RVd","RVNper","RVS/N","RVgof","RVchi2","RVTdur","RVamp","RVtempTeff","RVtemplogg","RVtemp[Fe/H]","Vatmparam","vbroad","e_Vbroad","o_Vbroad","GRVSmag","e_GRVSmag","o_GRVSmag","RVSS/N","VarFlag","PQSO","PGal","PSS","Teff","b_Teff_cds","B_Teff_cdsa","logg","b_logg_cds","B_logg_cdsa","[Fe/H]","b_[Fe/H]_cds","B_[Fe/H]_cdsa","distance","Dist","b_Dist_cds","B_Dist_cdsa","A0","b_A0_cds","B_A0_cdsa","AG","b_AG_cds","B_AG_cdsa","E(BP-RP)","b_E(BP-RP)_cds","B_E(BP-RP)_cdsa","Lib","RAJ2000","DEJ2000","e_RAJ2000","e_DEJ2000","RADEcorJ2000","angDist","l","b","ecl_lon","ecl_lat","pml","pmb","pml_error","pmb_error","parallax_ext_uncert","zpEDR3","plx_corr"
"Gaia DR2 219337971151574528",60.1854130738665,35.9734773852865,"kounkel2020","Gaia DR3 219337971152431616",60.18542191499,35.97347472973,0,0,81,1636148068921376768,219337971152431616,1745447922,0.0119,0.0077,2.991,0.0146,204.3551,10.049,5.058,0.018,-8.683,0.011,0.148,0.0098,0.1338,0.0475,0.2061,0.0078,0.508,0.1702,-0.0036,-0.0527,426,9,424,2,1.1272,479.21,0,0,95,FALSE,1.4906,1.4906,0.0023,0.054,-0.07,-0.023,-0.114,-0.042,49,17,0.025184,54,0.0186,85.15,0,0,1.038,0,457,102085.91637,64.1665,1590.95,13.164952,0.002839,49,47456,102.058,464.992,13.647814,0.003638,49,78337,131.759,594.548,12.512978,0.004197,1.232,0,1,0,1,0,1.134836,0.482862,0.651975,6.25,1.66,2,26,2,15,18.257,NA,NA,767.715,NA,5500,4.5,0,0,NA,NA,NA,12.260672,0.026223,24,NA,"VARIABLE",0,0,0.999939,5221.3,5198.1,5247.6,4.4007,4.3955,4.4054,-0.5977,-0.623,-0.5679,0.33433634,329.1754,327.5467,330.8878,0.4429,0.4254,0.4613,0.357,0.3426,0.3721,0.1925,0.1848,0.2007,"MARCS",60.18539413565,35.97351332213,0.288398,0.172125,-0.0562,0.027475,160.521527428059,-12.7301904054364,65.3759359386702,15.048198409216,9.57587904822454,-3.04637382042559,0.0155894249836569,0.0142116089405433,0.0319589695532615,-0.0419797756059872,3.03297977560599
"Gaia EDR3 3441247476819686400",83.912895,26.4057872222222,"prisinzano2022","Gaia DR3 3441247476819686400",83.913125581,26.40602962669,0,0,110,1636148068921376768,3441247476819686400,41634518,0.144,0.1093,1.7187,0.1711,10.0423,11.252,7.268,0.184,-8.589,0.122,-0.2402,0.1898,0.031,0.1125,-0.4272,0.0109,-0.5134,0.1775,0.3333,-0.1809,243,0,243,0,4.7455,414.17,0.655,5.2638,95,FALSE,1.2679,1.2679,0.0326,-0.082,-0.05,-0.145,-0.122,0.075,28,16,0.258173,29,0.03283,3.669,11,0,1.224,0,241,1433.82,2.35636,608.49,17.796131,0.003283,28,427.36,11.8471,36.073,18.761559,0.030227,28,1828.81,13.7445,133.057,16.592476,0.008993,1.574,0,28,0,28,0,2.169083,0.965427,1.203655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999751,3766.6,3741.4,3783.5,4.8633,4.825,4.8882,-0.6571,-0.7203,-0.5924,0.5818351,376.51,359.7339,399.7472,1.1047,1.0563,1.1426,0.7637,0.7296,0.7906,0.4207,0.4022,0.435,"PHOENIX",83.91308951401,26.40606779924,2.944094,2.011308,-0.1823,1.146428,180.97800855212,-3.21199700393674,84.542100545588,3.08176012342556,11.1498178836988,1.5087432387088,0.155089691535616,0.157121569427585,0.243022376745013,-0.0500249606454725,1.76872496064547
"Gaia DR2 2061423468451625344",305.441593132312,39.322648597466,"kounkel2020","Gaia DR3 2061423468451625344",305.44159655126,39.32265282896,0,0,162,1636148068921376768,2061423468451625344,683935355,0.0355,0.0367,0.5754,0.0444,12.9629,5.857,-3.158,0.048,-4.933,0.046,-0.0248,0.078,-0.049,0.0179,0.1048,0.0103,-0.1009,-0.1279,-0.0475,-0.052,426,0,426,0,3.0508,538.66,0.149,1.3001,31,FALSE,1.369,NA,NA,NA,NA,NA,NA,NA,49,29,0.067307,51,0.00751,131.9,0,0,1.106,0,425,4019.53761,2.27248,1768.79,16.676928,0.002823,46,1306.45,7.41043,176.298,17.548315,0.006761,43,4017.79,9.13595,439.778,15.737928,0.004514,1.325,0,2,0,1,0,1.810387,0.871387,0.938999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7379215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",305.44161469301,39.32267475222,0.768987,0.748597,-0.0529,0.017964,77.3301462761574,1.40775463300857,323.978172325805,56.3145306409984,-5.85336783823119,-0.213396228553095,0.0454914960782944,0.0484822006983853,0.0534114673380636,-0.0197485613919513,0.595148561391951
"Gaia EDR3 2068290468315091456",305.400775277778,40.6362236111111,"prisinzano2022","Gaia DR3 2068290468315091456",305.40086264845,40.63634368922,0,0,178,1636148068921376768,2068290468315091456,422509259,0.0712,0.09,1.0643,0.0943,11.2834,6.868,-2.332,0.093,-6.46,0.119,-0.0192,0.1355,-0.1796,0.0337,-0.0872,0.039,-0.3545,-0.1872,0.1337,-0.0683,343,0,343,0,-0.7515,339.41,0,2.1863e-15,31,FALSE,1.243,NA,NA,NA,NA,NA,NA,NA,39,27,0.169927,44,0.01313,46.81,0,0,0.97,0,351,1297.35209,2.153,602.578,17.904722,0.003292,38,197.661,7.25883,27.2305,19.598738,0.03997,38,1719.54,8.18766,210.017,16.65936,0.006404,1.478,0,1,0,0,0,2.939377,1.694016,1.245361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.99989,3592,3589.7,3595.8,4.0548,4.0315,4.0853,-0.4645,-0.5148,-0.4294,0.93958473,653.663,634.0496,666.3375,2.3483,2.3186,2.3758,1.5096,1.4898,1.5277,0.9281,0.9179,0.9374,"MARCS",305.40087630742,40.63637239898,1.510277,1.942638,-0.0699,0.4938,78.393008290458,2.18099887365632,324.94291983406,57.518365086969,-6.63999419976484,-1.75507863843454,0.108035231094892,0.105538565663331,0.106531510527169,-0.0185491834352768,1.08284918343528
"Gaia EDR3 6083591479934731392",199.672433888889,-48.3836580555555,"luhman2022a","Gaia DR3 6083591479934731392",199.67243430193,-48.38365781079,0,0,69,1636148068921376768,6083591479934731392,1077098288,0.2678,0.1947,7.6439,0.2958,25.8442,34.133,-29.137,0.317,-17.779,0.265,0.2938,-0.3059,-0.1666,-0.0324,0.035,0.0353,-0.1871,-0.0143,0.0414,-0.0177,334,0,332,2,1.1077,416.65,0.851,1.6377,95,FALSE,1.1424,1.1424,0.0721,-0.061,-0.312,0.061,-0.2,0.075,38,17,0.44203,44,0.0423,146.6,0,0,1.043,0,380,364.3052,1.91198,190.539,19.283703,0.006329,24,47.805,6.18917,7.72397,21.13986,0.140595,39,570.946,7.75976,73.5779,17.856407,0.015233,1.698,0,0,0,0,0,3.283453,1.856157,1.427296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13082327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",199.67262928795,-48.38357879429,5.127034,4.286618,-0.0166,0.001324,307.594289856562,14.2412327979491,218.783028749969,-36.6541734747843,-30.9002167148656,-14.4994557475216,0.315923936057935,0.266281930715664,0.412659690407759,-0.00882015424743385,7.65272015424743
"Gaia EDR3 4177205584881350912",270.240228055556,-3.90311638888889,"prisinzano2022","Gaia DR3 4177205584881350912",270.24011264292,-3.90293482898,0,0,72,1636148068921376768,4177205584881350912,356532178,0.0206,0.0182,2.0553,0.0234,87.6587,26.943,-21.714,0.029,-15.951,0.021,0.0914,-0.0639,0.0164,-0.1499,-0.3185,-0.1394,-0.3213,0.1542,0.0021,-0.1129,202,9,202,0,3.5531,264.28,0.06,1.236,31,FALSE,1.36,NA,NA,NA,NA,NA,NA,NA,23,15,0.03999,24,0.0309,176.8,0,0,1.182,0,188,37621.17028,15.5972,2412.04,14.248786,0.002792,23,11532.9,18.2892,630.587,15.183692,0.003279,21,38031.9,16.7034,2276.9,13.297525,0.003809,1.317,0,1,0,0,0,1.886167,0.934906,0.951261,2.15,3.27,2,9,7,8,6.6806,NA,NA,801.207,NA,4500,2.5,-1.5,111,NA,NA,NA,12.699052,0.083584,2,NA,"NOT_AVAILABLE",0,0,0.999991,5177.6,5142.6,5239.6,4.1449,4.1322,4.1583,-0.3924,-0.4226,-0.3398,0.48654696,473.516,467.8505,478.8473,2.2077,2.1857,2.247,1.6638,1.6456,1.6948,0.9004,0.8906,0.9168,"PHOENIX",270.24020937203,-3.90286393533,0.457888,0.345097,-0.0966,0.773978,23.6010083734829,9.37799720091157,270.254311173629,19.535951542848,-24.3442905870137,11.5450297883998,0.0217629220549019,0.0284319402016862,0.0341218764518384,-0.0403850872145802,2.09568508721458
"Gaia EDR3 4074512504507451648",285.387129444444,-24.2761697222222,"prisinzano2022","Gaia DR3 4074512504507451648",285.38741794761,-24.27629849352,0,0,174,1636148068921376768,4074512504507451648,365979232,0.2124,0.2239,1.4111,0.2801,5.0376,9.964,2.32,0.27,-9.69,0.239,-0.0119,0.1525,-0.0424,-0.2675,-0.6008,-0.1714,-0.1675,-0.0914,0.1299,0.0907,198,0,197,1,1.3738,236.21,0.601,1.23,95,FALSE,1.3145,1.3145,0.0537,-0.152,0.147,-0.141,-0.099,0.075,23,14,0.383929,23,0.04371,73.63,0,0,1.069,0,184,618.9119,3.3178,186.543,18.708294,0.00644,10,278.773,32.5246,8.57115,19.225414,0.126704,10,1087.33,31.5775,34.4339,17.156988,0.031757,2.207,0,0,0,1,0,2.068426,0.51712,1.551306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,1e-06,0.999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.708667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",285.38740663695,-24.2762554266,4.339953,3.868747,0.1122,1.054172,12.0420086378137,-12.9000030452218,284.002777025554,-1.58176295161131,-7.88777121310804,-6.08782106255301,0.253274749745971,0.256657166549302,0.390771225881223,-0.02547790227746,1.43657790227746
"VPHAS J180427.4-241427.1",271.11417,-24.24083,"kalari2015","Gaia DR3 4066117733262662528",271.11398847273,-24.24086197744,0,0,60,1636148068921376768,4066117733262662528,846696467,0.0702,0.0588,0.7743,0.0684,11.3273,2.183,1.304,0.082,-1.751,0.062,0.2997,-0.2113,-0.3485,-0.1906,-0.1297,-0.1756,-0.5967,0.0135,0.1234,0.338,247,0,246,1,-0.1555,261.53,0,0,95,FALSE,1.3504,1.3504,0.016,0.063,0.101,0.007,-0.104,-0.155,28,15,0.125353,28,0.3324,97.97,0,0,0.992,0,245,3147.27935,51.2379,61.4249,16.942528,0.017889,27,1048.06,80.1668,13.0735,17.787577,0.083096,27,3402.49,142.903,23.8097,15.918403,0.045757,1.414,0,1,0,0,0,1.869174,0.845049,1.024125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999646,6214.1,6065,6341.6,4.5007,4.4306,4.6063,-2.4262,-2.4789,-2.2914,1.2914891,803.4387,703.6552,894.5456,3.2567,3.1673,3.329,2.4974,2.4219,2.5588,1.3985,1.356,1.4327,"PHOENIX",271.11398211651,-24.24085419629,1.330341,1.030451,0.3402,0.606896,6.17857028462815,-1.26182193807569,271.016020757055,-0.805479450049605,-0.886785189656316,-1.99500100937473,0.0774909907472753,0.0675510647806952,0.10154423764443,-0.0396121048046563,0.813912104804656
"Gaia EDR3 2207235439180862848",345.0200325,62.7198144444444,"prisinzano2022","Gaia DR3 2207235439180862848",345.01971182287,62.71992329722,0,0,22,1636148068921376768,2207235439180862848,179082861,0.2346,0.2591,1.4671,0.2736,5.3621,2.687,-0.798,0.301,-2.566,0.311,0.094,0.1577,-0.1824,-0.1858,-0.0651,-0.2634,-0.2839,0.1457,0.0754,0.054,310,0,309,1,0.8448,352.12,0.161,0.041079,95,FALSE,1.257,1.257,0.0715,0.074,0.318,-0.035,-0.255,-0.027,36,24,0.455995,40,0.007404,168.6,0,0,1.033,0,339,308.38662,1.10273,279.658,19.464628,0.004761,23,50.5295,6.93495,7.28621,21.07968,0.149039,34,471.62,7.62116,61.8831,18.063913,0.017947,1.693,0,0,0,1,0,3.015766,1.615051,1.400715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6816168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",345.01971956224,62.71993470133,4.864755,5.050112,0.0751,0.658435,110.560008422907,2.55400048698384,28.9414208794904,59.6054395113446,-1.79320321880962,-2.0013950674594,0.309006609253666,0.303046061577365,0.381709364602623,-0.0336106924401653,1.50071069244017
"[DM98] 88",81.94888,11.26697,"dolan2001","Gaia DR3 3339317182648307456",81.94881227624,11.26697954066,0,0,105,1636148068921376768,3339317182648307456,307631615,0.0154,0.0114,2.56,0.018,141.8461,2.377,0.303,0.019,-2.358,0.013,-0.1699,0.1765,-0.2787,0.1484,-0.2701,0.2677,-0.7479,-0.0891,0.3487,-0.4233,480,480,477,3,9.4101,1220.5,0.11,21.608,31,TRUE,1.435,NA,NA,NA,NA,NA,NA,NA,55,20,0.029273,56,0.06348,2.459,0,0,1.321,0,476,254971.14497,433.109,588.7,12.17114,0.003316,54,104292,598.87,174.148,12.792915,0.00683,55,218601,903.199,242.029,11.398767,0.005866,1.266,0,0,0,1,0,1.394148,0.621776,0.772372,39.77,4.96,1,30,4,17,48.813,29.511,0,958.781,88.97,5250,0.5,0,440,NA,NA,NA,11.060419,0.00991,26,NA,"VARIABLE",0,0,0.999943,5513,5506.8,5523.3,4.0364,4.0337,4.0389,-0.2459,-0.2511,-0.2391,0.390625,364.925,362.9456,367.3017,1.2527,1.2478,1.2592,0.9958,0.9918,1.0012,0.5387,0.5364,0.5417,"MARCS",81.94881090511,11.26699001861,0.314043,0.214138,-0.4217,0.241561,192.929183536256,-12.8520343208657,81.9290969645584,-11.9470285217898,2.1690193738635,-0.97330773951756,0.017734933734934,0.0146789688131523,0.0352498496212398,-0.0164433412090313,2.57644334120903
