"name","ra","dec","orig_ref","DR3Name","RAdeg","DEdeg","errHalfMaj","errHalfMin","errPosAng","SolID","Source","RandomI","e_RAdeg","e_DEdeg","Plx","e_Plx","RPlx","PM","pmRA","e_pmRA","pmDE","e_pmDE","RADEcor","RAPlxcor","RApmRAcor","RApmDEcor","DEPlxcor","DEpmRAcor","DEpmDEcor","PlxpmRAcor","PlxpmDEcor","pmRApmDEcor","NAL","NAC","NgAL","NbAL","gofAL","chi2AL","epsi","sepsi","Solved","APF","nueff","pscol","e_pscol","RApscolCorr","DEpscolCorr","PlxpscolCorr","pmRApscolCorr","pmDEpscolCorr","MatchObsA","Nper","amax","MatchObs","IPDgofha","IPDgofhp","IPDfmp","IPDfow","RUWE","Dup","o_Gmag","FG","e_FG","RFG","Gmag","e_Gmag","o_BPmag","FBP","e_FBP","RFBP","BPmag","e_BPmag","o_RPmag","FRP","e_FRP","RFRP","RPmag","e_RPmag","E(BP/RP)","NBPcont","NBPblend","NRPcont","NRPblend","Mode","BP-RP","BP-G","G-RP","RV","e_RV","n_RV","o_RV","o_RVd","RVNper","RVS/N","RVgof","RVchi2","RVTdur","RVamp","RVtempTeff","RVtemplogg","RVtemp[Fe/H]","Vatmparam","vbroad","e_Vbroad","o_Vbroad","GRVSmag","e_GRVSmag","o_GRVSmag","RVSS/N","VarFlag","PQSO","PGal","PSS","Teff","b_Teff_cds","B_Teff_cdsa","logg","b_logg_cds","B_logg_cdsa","[Fe/H]","b_[Fe/H]_cds","B_[Fe/H]_cdsa","distance","Dist","b_Dist_cds","B_Dist_cdsa","A0","b_A0_cds","B_A0_cdsa","AG","b_AG_cds","B_AG_cdsa","E(BP-RP)","b_E(BP-RP)_cds","B_E(BP-RP)_cdsa","Lib","RAJ2000","DEJ2000","e_RAJ2000","e_DEJ2000","RADEcorJ2000","angDist","l","b","ecl_lon","ecl_lat","pml","pmb","pml_error","pmb_error","parallax_ext_uncert","zpEDR3","plx_corr"
"CXOVVV J165400.82-414531.7",253.503431111111,-41.758825,"kuhn2017","Gaia DR3 5966522010166997248",253.50340939831,-41.75883247961,0,0,97,1636148068921376768,5966522010166997248,968331489,0.0188,0.0136,0.6537,0.0218,30.0454,2.23,-0.578,0.026,-2.153,0.021,-0.0798,-0.0291,-0.2037,-0.0013,-0.1002,0.0026,-0.4705,-0.0119,0.1565,-0.0582,383,0,382,1,-0.2721,374.12,0,2.0701e-15,31,FALSE,1.449,NA,NA,NA,NA,NA,NA,NA,44,20,0.036118,50,0.01156,47.29,0,0,0.989,0,389,28317.00335,8.76334,3231.3,14.557249,0.002776,42,11838.7,18.9512,624.695,15.15528,0.003287,42,23912.7,23.8386,1003.11,13.801323,0.003931,1.263,0,1,0,0,0,1.353957,0.598031,0.755926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999988,6264.7,6222.5,6290.9,3.7357,3.7087,3.7515,-0.2888,-0.3316,-0.2706,1.5297537,1608.9657,1584.8195,1647.608,1.6483,1.624,1.6619,1.3427,1.3216,1.3546,0.7329,0.7217,0.7395,"MARCS",253.5034128446,-41.75882290948,0.417762,0.344909,-0.0567,0.064225,343.497741324766,1.24794749915255,257.049825374454,-19.0583209736723,-2.03513135881396,-0.909798522955529,0.0224370288649363,0.0247705416919778,0.0315288504296645,-0.0390985031329094,0.692798503132909
"HD 231761",293.254,13.8752,"xu2021","Gaia DR3 4317920052255923840",293.25396175849,13.87521043186,0,0,93,1636148068921376768,4317920052255923840,1689454035,0.0155,0.0133,3.173,0.0207,153.2679,14.181,13.951,0.02,-2.549,0.017,-0.0165,-0.3335,-0.3701,0.1686,-0.0015,0.0644,0.0061,0.1888,-0.2523,-0.1564,329,329,325,4,3.6523,938.59,0.128,18.593,31,FALSE,1.588,NA,NA,NA,NA,NA,NA,NA,37,19,0.030095,41,0.009884,41.46,0,0,1.147,0,324,2131658.0462,400.671,5320.22,9.865573,0.002763,38,1214820,331.955,3659.6,10.127261,0.002806,37,1329690,253.704,5241.13,9.438516,0.003785,1.194,0,0,0,0,0,0.688745,0.261688,0.427057,-61.38,0.6,1,6,2,6,60.067,0.49773,0.32355,559.76,2.73,7000,4.5,0,555,NA,NA,NA,9.26818,0.008812,3,NA,"NOT_AVAILABLE",0,0,0.999726,6566.5,6497.6,6614.1,3.6982,3.6732,3.7227,-0.7206,-0.7538,-0.6744,0.31515914,330.9318,324.6798,338.0089,0.2738,0.239,0.2959,0.2377,0.2072,0.2572,0.1287,0.1122,0.1392,"PHOENIX",293.25389789253,13.87522175908,0.333214,0.273555,-0.1643,0.138828,50.0064067983184,-2.66763186910819,297.93086879936,35.0869138772677,4.48653516154798,-13.4535796070858,0.0164274680821122,0.0204728672249683,0.0306339612812059,-0.0243523456737318,3.19735234567373
"Gaia DR2 2061111585103250944",306.116475365171,38.2253343553639,"kounkel2020","Gaia DR3 2061111585103250944",306.11647881448,38.22533847302,0,0,165,1636148068921376768,2061111585103250944,47666080,0.0136,0.0161,0.5408,0.0185,29.2944,6.653,-3.361,0.019,-5.741,0.021,-0.0947,0.1699,-0.06,-0.0609,0.0325,-0.0743,-0.2464,-0.2123,-0.0243,-0.0688,412,0,412,0,8.8914,692.34,0.116,6.7662,31,FALSE,1.377,NA,NA,NA,NA,NA,NA,NA,47,27,0.029312,51,0.003982,95.91,0,0,1.326,0,427,38025.50962,8.49465,4476.41,14.237179,0.002766,47,12716.2,10.3859,1224.37,15.077649,0.002928,49,37088,14.0871,2632.76,13.324812,0.003802,1.31,0,1,0,0,0,1.752837,0.84047,0.912367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8491125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",306.11649782782,38.22536399033,0.302817,0.336976,-0.0616,0.017745,76.7317337161156,0.34808186116519,324.024737391401,55.0978870878868,-6.62914311914263,-0.556653847488716,0.0197140933155519,0.0203311220729627,0.027734470306852,-0.0302874572852449,0.571087457285245
"Gaia EDR3 2179334781872772352",324.586752777778,58.5586791666667,"prisinzano2022","Gaia DR3 2179334781872772352",324.58708609066,58.55853041927,0,0,110,1636148068921376768,2179334781872772352,1364551436,0.0886,0.0756,1.0903,0.0897,12.1504,3.864,-2.276,0.116,-3.122,0.095,-0.1378,0.017,0.188,-0.0967,-0.0048,-0.0938,0.0024,-0.1485,-0.1292,-0.1269,327,0,326,1,0.1499,355.02,0.142,0.25116,31,FALSE,1.223,NA,NA,NA,NA,NA,NA,NA,38,25,0.164186,57,0.01079,144.5,0,0,1.005,0,466,1411.27736,1.63615,862.561,17.813335,0.003029,55,185.486,8.72311,21.2637,19.667765,0.051137,54,1981.36,8.66231,228.733,16.505487,0.006068,1.535,0,4,0,3,0,3.162277,1.854429,1.307848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999974,3512.4,3503.3,3520.4,3.9709,3.9686,3.9739,-0.305,-0.3404,-0.2665,0.9171788,578.8555,569.9584,589.0765,2.6657,2.6257,2.6985,1.6667,1.6412,1.6878,1.0734,1.0591,1.0851,"MARCS",324.58710547935,58.55854429631,1.838275,1.525539,-0.1187,0.823722,99.9430082178838,4.59100000178699,8.3041283698346,64.5561932082381,-3.77742498833609,-0.811246237275765,0.100493072934114,0.111275074892173,0.102195773259321,-0.0211595535534702,1.11145955355347
"Gaia EDR3 4059451841000300544",261.373483888889,-29.6707761111111,"luhman2022a","Gaia DR3 4059451841000300544",261.37348359491,-29.67077551774,0,0,98,1636148068921376768,4059451841000300544,433865129,0.0223,0.0155,6.295,0.0251,250.4407,22.579,-4.336,0.03,-22.159,0.019,-0.1053,-0.2261,0.1761,-0.1695,-0.2494,-0.1412,-0.2169,-0.0985,0.2588,-0.065,254,254,251,3,-5.8457,624.44,0.128,10.043,31,TRUE,1.681,NA,NA,NA,NA,NA,NA,NA,29,15,0.041575,29,0.03987,173.5,0,0,0.747,1,246,36409689.40292,15470.8,2353.45,6.784325,0.002794,27,24279900,21242.4,1142.99,6.875426,0.002947,27,18385000,15194.4,1209.98,6.586736,0.003884,1.172,0,0,0,0,0,0.28869,0.091102,0.197588,-43.58,0.51,1,19,0,14,455.74,1.3769,0.027003,886.197,5.8,7750,4,0,555,161.1828,3.3291,19,6.496042,0.00568,19,527.4852,"NOT_AVAILABLE",0,0,1e-06,10227.4,10191.7,10257.6,3.9354,3.9244,3.941,0.3729,0.2343,0.4467,0.15885623,158.3165,157.6881,159.0243,0.7092,0.7047,0.7134,0.6713,0.6669,0.6753,0.3589,0.3566,0.3611,"A",261.37350577324,-29.67067703505,0.472479,0.31062,-0.0499,0.002326,357.01258237337,3.29742412869632,262.4634609275,-6.45690303893522,-20.8027892772528,-8.7787319862389,0.0222438646174548,0.0276805073450675,0.0650380553296033,-0.0399059392053752,6.33490593920537
"Gaia DR2 4054510906237834368",263.591225337321,-33.3760054122924,"kounkel2020","Gaia DR3 4054510906237834368",263.59123272358,-33.37600249529,0,0,78,1636148068921376768,4054510906237834368,744643653,0.019,0.0146,0.8384,0.0203,41.2087,3.1,2.406,0.025,-1.954,0.018,0.1153,-0.1696,-0.1898,-0.1819,-0.2019,-0.2028,-0.376,0.1169,0.1119,0.1514,219,219,211,8,-5.6092,493.11,0.107,10.934,31,FALSE,1.67,NA,NA,NA,NA,NA,NA,NA,25,17,0.035538,26,0.06876,5.083,0,0,0.735,0,211,585294.13702,310.093,1887.48,11.268931,0.002815,26,379140,227.758,1664.66,11.391543,0.002865,24,307106,148.974,2061.48,11.029676,0.003816,1.172,0,0,0,0,0,0.361867,0.122612,0.239255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999964,7295.5,7292.5,7298.8,3.5349,3.5251,3.5448,-1.2068,-1.2095,-1.2015,1.1927481,1107.6428,1095.2056,1119.695,6e-04,1e-04,0.0017,5e-04,1e-04,0.0015,3e-04,0,8e-04,"PHOENIX",263.59121991812,-33.37599380919,0.403274,0.29428,0.1655,0.024563,354.960051198591,-0.320746395539237,264.567838603701,-10.0574945986777,-0.336735587267417,-3.08116230410987,0.0217859601744504,0.0217800812504742,0.0372933795829892,-0.0585546083420958,0.896954608342096
"Gaia EDR3 545392230194847232",37.6562852777778,71.5688108333333,"prisinzano2022","Gaia DR3 545392230194847232",37.65665849423,71.56860058984,0,0,13,1636148068921376768,545392230194847232,540453075,0.0683,0.0733,1.1043,0.0899,12.2829,2.923,-1.851,0.08,-2.262,0.087,0.0354,-0.0177,-0.3975,-0.0376,-0.2025,-0.0605,-0.3571,0.092,0.2876,-0.0389,479,0,474,5,1.0959,526.18,0.177,0.52252,31,FALSE,1.284,NA,NA,NA,NA,NA,NA,NA,55,28,0.12661,62,0.03701,105.7,0,0,1.035,0,531,1397.89961,4.18781,333.802,17.823677,0.004263,54,310.807,7.98053,38.9457,19.107315,0.028018,52,1706.18,18.5249,92.1018,16.667835,0.012379,1.443,0,3,0,4,0,2.43948,1.283638,1.155842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.997667,3632,3619.6,3638.5,4.2002,4.1185,4.2499,-0.6154,-0.6543,-0.5708,0.905551,748.5759,681.6364,803.0882,1.2809,1.2506,1.3053,0.855,0.8343,0.8716,0.509,0.4973,0.5181,"MARCS",37.65668451759,71.5686106414,1.304311,1.424774,-0.0322,0.867936,130.675008023816,10.2040015706706,65.7086299731035,52.5220220592884,-0.854822960211287,-2.79501747878177,0.0822080899228663,0.0849166058626575,0.102327316429228,-0.0160961121235219,1.12039611212352
"Gaia DR2 2020111002670895616",295.986674776043,23.3462440177257,"cantat-gaudin2020","Gaia DR3 2020111002670895616",295.98667447404,23.34624329164,0,0,175,1636148068921376768,2020111002670895616,520090551,0.0196,0.0245,0.4764,0.0363,13.1385,5.571,-2.017,0.023,-5.194,0.034,-0.0381,-0.0087,-0.7036,-0.0438,0.0245,0.0315,-0.2168,-0.0947,-0.1264,0.1187,920,0,916,4,-2.0836,854.72,0,0,31,FALSE,1.36,NA,NA,NA,NA,NA,NA,NA,105,25,0.047339,107,0.03386,116.9,1,0,0.951,0,923,7490.1294,2.62131,2857.4,16.001144,0.002781,100,2311.09,8.25946,279.811,16.929,0.004779,101,7646.8,9.18082,832.91,15.039197,0.003998,1.329,3,9,2,10,0,1.889804,0.927856,0.961947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999998,6878.9,6677.3,7015.9,3.5716,3.456,3.5968,-0.2245,-0.2558,-0.2082,2.0990765,2943.0342,2867.0366,3340.5596,3.3186,3.2112,3.3787,2.6186,2.5234,2.6758,1.4397,1.3869,1.4722,"A",295.98668423601,23.34626637472,0.374212,0.543882,0.1138,0.002798,59.5330770086157,-0.279558828071362,303.860321270339,43.778435748665,-5.50784946313416,-0.842329680975747,0.0328676432299692,0.0245910151987968,0.0445861896590223,-0.0283789609439553,0.504778960943955
"Gaia EDR3 6055202368900959744",191.256499444444,-62.4275116666667,"prisinzano2022","Gaia DR3 6055202368900959744",191.25697124859,-62.42737992187,0,0,39,1636148068921376768,6055202368900959744,746808796,0.0108,0.0115,1.9374,0.0149,130.075,13.859,-12.795,0.013,-5.326,0.017,0.2876,-0.1682,-0.0337,0.1383,-0.127,0.1383,0.107,0.001,0.0018,0.4222,467,0,467,0,0.7953,480.54,0,0,31,FALSE,1.44,NA,NA,NA,NA,NA,NA,NA,53,25,0.025795,62,0.01657,102.1,0,0,1.026,0,487,47603.28784,7.92967,6003.19,13.993275,0.002761,58,19469.2,17.0449,1142.23,14.615174,0.002948,58,40571.1,18.1413,2236.39,13.227352,0.00381,1.261,0,3,0,1,0,1.387822,0.6219,0.765923,-10.72,3.13,2,21,5,16,10.356,NA,NA,989.698,NA,5500,0.5,-1,111,NA,NA,NA,12.94409,0.041389,17,NA,"NOT_AVAILABLE",0,0,0.999973,5229,5205.9,5277.2,4.2119,4.2025,4.2263,-1.064,-1.108,-1.0186,0.51615566,501.9952,498.6514,505.7189,1.0685,1.0511,1.1038,0.8452,0.831,0.8745,0.4621,0.4544,0.4781,"MARCS",191.25709410348,-62.42735625171,0.21466,0.271732,0.4102,0.918166,302.19000856704,0.434998920563695,223.810460148511,-51.0176334164283,-12.658432840014,-5.64290519456568,0.0128230163551196,0.0171338918975325,0.0238693604522929,-0.0338838632662546,1.97128386326625
"Gaia EDR3 979264264454272384",104.754128055556,49.3627080555556,"prisinzano2022","Gaia DR3 979264264454272384",104.7543626978,49.36266639053,0,0,149,1636148068921376768,979264264454272384,935579142,0.0835,0.0959,1.2385,0.115,10.771,8.331,-5.885,0.108,-5.898,0.118,-0.2586,-0.088,-0.3164,-0.0594,-0.3642,0.011,-0.5056,0.0547,0.3528,-0.5343,376,0,365,11,1.3078,457.86,0.275,1.6894,95,FALSE,1.2903,1.2903,0.0212,-0.05,0.203,-0.169,0.102,-0.028,42,16,0.198631,45,0.1076,0.9443,13,2,1.048,0,365,1843.69712,1.96807,936.807,17.523144,0.002989,42,929.232,8.93587,103.989,17.918232,0.010807,38,3489.44,13.0309,267.782,15.891006,0.005543,2.397,0,42,0,38,0,2.027225,0.395088,1.632137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,1.1e-05,0.999911,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80742836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",104.75440285637,49.36269260185,1.750066,1.940459,-0.5104,0.570216,167.29500794656,21.4190027841767,100.677535785938,26.4688625406251,3.89933853812348,-7.36306919464329,0.132537041484336,0.0895652423352902,0.167394554322318,-0.0523261399799985,1.29082613998
