"name","ra","dec","orig_ref","DR3Name","RAdeg","DEdeg","errHalfMaj","errHalfMin","errPosAng","SolID","Source","RandomI","e_RAdeg","e_DEdeg","Plx","e_Plx","RPlx","PM","pmRA","e_pmRA","pmDE","e_pmDE","RADEcor","RAPlxcor","RApmRAcor","RApmDEcor","DEPlxcor","DEpmRAcor","DEpmDEcor","PlxpmRAcor","PlxpmDEcor","pmRApmDEcor","NAL","NAC","NgAL","NbAL","gofAL","chi2AL","epsi","sepsi","Solved","APF","nueff","pscol","e_pscol","RApscolCorr","DEpscolCorr","PlxpscolCorr","pmRApscolCorr","pmDEpscolCorr","MatchObsA","Nper","amax","MatchObs","IPDgofha","IPDgofhp","IPDfmp","IPDfow","RUWE","Dup","o_Gmag","FG","e_FG","RFG","Gmag","e_Gmag","o_BPmag","FBP","e_FBP","RFBP","BPmag","e_BPmag","o_RPmag","FRP","e_FRP","RFRP","RPmag","e_RPmag","E(BP/RP)","NBPcont","NBPblend","NRPcont","NRPblend","Mode","BP-RP","BP-G","G-RP","RV","e_RV","n_RV","o_RV","o_RVd","RVNper","RVS/N","RVgof","RVchi2","RVTdur","RVamp","RVtempTeff","RVtemplogg","RVtemp[Fe/H]","Vatmparam","vbroad","e_Vbroad","o_Vbroad","GRVSmag","e_GRVSmag","o_GRVSmag","RVSS/N","VarFlag","PQSO","PGal","PSS","Teff","b_Teff_cds","B_Teff_cdsa","logg","b_logg_cds","B_logg_cdsa","[Fe/H]","b_[Fe/H]_cds","B_[Fe/H]_cdsa","distance","Dist","b_Dist_cds","B_Dist_cdsa","A0","b_A0_cds","B_A0_cdsa","AG","b_AG_cds","B_AG_cdsa","E(BP-RP)","b_E(BP-RP)_cds","B_E(BP-RP)_cdsa","Lib","RAJ2000","DEJ2000","e_RAJ2000","e_DEJ2000","RADEcorJ2000","angDist","l","b","ecl_lon","ecl_lat","pml","pmb","pml_error","pmb_error","parallax_ext_uncert","zpEDR3","plx_corr"
"[MGM2012] 1357",83.745875,-5.63077777777778,"megeath2012","Gaia DR3 3017251054139985792",83.74597576319,-5.63077719934,0,0,64,1636148068921376768,3017251054139985792,26012442,0.1053,0.092,2.4361,0.1546,15.7591,2.696,2.581,0.133,-0.779,0.117,0.1745,-0.2474,-0.1608,-0.1111,-0.1522,0.0451,-0.4194,0.1777,0.1879,-0.1733,414,0,414,0,-2.6769,572.84,0.58,4.1156,95,FALSE,1.064,1.064,0.0299,-0.05,-0.327,-0.007,-0.19,0.253,48,21,0.192325,50,0.006604,15.55,0,0,0.907,0,378,1115.89427,3.22699,345.8,18.06831,0.004177,35,336.692,42.1922,7.97997,19.02046,0.136086,45,2033.36,30.6034,66.4423,16.47736,0.016772,2.124,0,3,0,3,0,2.5431,0.95215,1.59095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41049218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",83.74596423535,-5.63077373828,2.146262,1.911299,-0.1645,0.361003,209.204179469375,-19.5575506114699,82.885455652848,-28.9157317118107,1.85979536857545,1.95181023335398,0.129132578102893,0.12125500926766,0.215855457606016,-0.0494728567880421,2.48557285678804
"Gaia EDR3 5998650087834185088",241.088268055556,-36.6244130555556,"luhman2022a","Gaia DR3 5998650087834185088",241.08826750051,-36.62441346355,0,0,106,1636148068921376768,5998650087834185088,210038448,0.1253,0.0835,6.1385,0.1584,38.7573,26.764,-12.685,0.172,-23.567,0.125,-0.2545,-0.2098,0.0923,-0.1918,-0.0659,-0.1751,0.5962,-0.2631,-0.1878,-0.1429,409,0,409,0,0.152,651.54,0.645,6.8344,95,FALSE,1.1204,1.1204,0.0241,-0.003,0.109,0.021,-0.09,-0.012,47,19,0.243902,52,0.02349,175.7,0,0,1.005,0,434,1496.44225,2.00606,745.962,17.749718,0.003116,50,104.566,6.74811,15.4956,20.290064,0.070123,45,2367.5,9.86035,240.103,16.31217,0.005893,1.652,0,1,0,1,0,3.977894,2.540346,1.437548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16290624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",241.08833774858,-36.62430872259,2.745112,1.945981,-0.1309,0.002175,340.622080510874,11.7588451423399,246.251161451349,-15.5385515278255,-25.3025799164413,-8.72308222889707,0.141792455424747,0.158442101679512,0.22596062190212,-0.056896318612064,6.19539631861206
"Gaia EDR3 5329319017153666432",130.486368333333,-47.7348627777778,"prisinzano2022","Gaia DR3 5329319017153666432",130.48626690443,-47.73502487217,0,0,13,1636148068921376768,5329319017153666432,1633836463,0.0902,0.1006,1.0345,0.1087,9.5188,5.346,-5.11,0.113,1.572,0.138,0.0548,-0.2228,-0.127,-0.0172,-0.0823,0.0054,-0.2809,0.0763,0.1375,0.0329,337,0,337,0,0.8645,378.87,0,2.2093e-15,95,FALSE,1.349,1.349,0.0293,0.03,0.049,-0.055,-0.071,-0.016,38,24,0.193519,41,0.005425,81.16,4,0,1.033,0,351,960.96887,1.67012,575.389,18.230593,0.00334,37,362.841,15.0437,24.1191,18.939253,0.045102,35,1189.91,15.728,75.6554,17.05911,0.01484,1.616,0,0,0,0,0,1.880142,0.70866,1.171482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999998,3964.3,3929.1,4009.7,4.8098,4.7826,4.8301,-0.7016,-0.769,-0.6193,0.96665055,571.4843,547.2579,602.5546,1.3106,1.2423,1.3946,0.9211,0.8717,0.9823,0.4992,0.4729,0.5317,"PHOENIX",130.4863006703,-47.73503185859,1.815628,2.231909,0.0329,0.633111,266.280008364634,-3.43299940873639,158.167567550774,-61.9389075999612,-4.37518385633676,-3.07262920367072,0.12723035331242,0.125001748771755,0.15194563089973,-0.0303126954597671,1.06481269545977
"CD-46 4362",129.1402,-46.6161,"xu2021","Gaia DR3 5521632843638494208",129.14021273676,-46.6161306144,0,0,38,1636148068921376768,5521632843638494208,598420748,0.0119,0.0121,0.6162,0.0136,45.1569,7.149,-5.436,0.017,4.644,0.014,0.0875,-0.0383,-0.0792,0.0709,0.1706,0.1065,-0.2058,0.1214,-0.0785,0.0808,381,381,380,1,0.7554,1216.4,0.116,18.518,31,FALSE,1.663,NA,NA,NA,NA,NA,NA,NA,44,28,0.023347,49,0.0133,150.5,0,0,1.027,0,383,839104.41208,164.283,5107.67,10.877827,0.002764,45,541600,219.413,2468.41,11.004345,0.002825,46,447944,165.645,2704.23,10.619837,0.003801,1.179,0,0,0,0,0,0.384508,0.126518,0.25799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999983,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6228498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",129.14024790895,-46.61615125324,0.268798,0.22694,0.0709,0.114624,264.832899522056,-3.48121845152799,155.270073867765,-61.4873551153572,-6.9781763147794,-1.55624140796082,0.014528873381455,0.0165502821204246,0.0230044608990157,-0.0215870502625373,0.637787050262537
"Gaia DR2 3017203191024502656",83.3812026977539,-6.16504907608032,"kounkel2018","Gaia DR3 3017203191024502656",83.38121871542,-6.16504372905,0,0,102,1636148068921376768,3017203191024502656,1646179592,0.0362,0.0336,2.3317,0.0512,45.5259,1.198,0.245,0.045,-1.172,0.04,-0.034,-0.0233,-0.2531,0.0614,-0.2589,0.0202,-0.5315,0.2459,0.213,-0.0565,430,0,430,0,2.3988,580.24,0.183,2.8216,31,FALSE,1.219,NA,NA,NA,NA,NA,NA,NA,49,23,0.064556,49,0.0148,95.5,1,0,1.083,0,428,6181.74933,19.802,312.179,16.209589,0.004437,45,760.457,24.0962,31.5592,18.135855,0.034516,45,8935.36,69.4811,128.601,14.870115,0.00925,1.568,0,1,0,0,0,3.265739,1.926266,1.339474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999988,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42887163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",83.38121761936,-6.16503851832,0.734737,0.65298,-0.0582,0.060475,209.537834548609,-20.1219309061285,82.439305480041,-29.4307801641513,1.15726747082656,-0.307149802159617,0.0420382985687777,0.0431019889731587,0.0618399376490793,-0.0493990957825436,2.38109909578254
"Gaia EDR3 4468200575643321344",271.689885555556,1.93137138888889,"prisinzano2022","Gaia DR3 4468200575643321344",271.68979429204,1.93123962428,0,0,69,1636148068921376768,4468200575643321344,771039352,0.0982,0.0891,1.8974,0.1144,16.5828,8.476,0.793,0.129,-8.438,0.113,0.0889,-0.0115,-0.3031,-0.1766,-0.1786,-0.2499,-0.5159,0.0657,0.1546,0.3673,283,0,280,3,-0.1344,285.08,0,0,31,FALSE,1.266,NA,NA,NA,NA,NA,NA,NA,32,18,0.204333,32,0.06792,173.9,0,0,0.993,0,268,1348.72638,2.24144,601.723,17.862556,0.003294,27,240.043,10.9844,21.8532,19.387817,0.049762,28,1772.32,17.4675,101.464,16.62654,0.011349,1.492,0,18,0,21,0,2.761278,1.525261,1.236017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999442,3570.4,3560,3585,4.2357,4.1787,4.2859,-0.5298,-0.5785,-0.4428,0.52703696,607.6043,578.2491,656.2057,1.6363,1.6014,1.6752,1.0692,1.0462,1.0948,0.6536,0.6405,0.6677,"MARCS",271.68979076557,1.9312771287,2.094597,1.850673,0.3725,0.576916,29.5300082678123,10.816997214007,271.869091802061,25.359687892118,-7.13751105867552,-4.56997033768105,0.133945999508605,0.107090938998782,0.129515951390587,-0.0195929501008006,1.9169929501008
"MPCM J180428.97-241408.7",271.12073,-24.2357619444444,"broos2013","Gaia DR3 4066070797865394944",271.12068816624,-24.23577145164,0,0,66,1636148068921376768,4066070797865394944,1697404737,0.0623,0.0516,0.7836,0.0648,12.0946,2.007,1.316,0.074,-1.515,0.053,0.2116,-0.191,-0.2662,-0.0965,-0.2609,-0.0546,-0.5516,0.0127,0.1448,0.1171,255,0,254,1,2.2778,382.67,0.277,4.2235,95,FALSE,1.3021,1.3021,0.0139,-0.046,0.059,0.014,-0.071,-0.099,29,16,0.106101,29,0.01406,0.9129,0,0,1.103,0,250,5118.95619,7.26635,704.474,16.414413,0.003157,28,1267.83,24.3687,52.0271,17.58089,0.021054,27,6087.27,56.0728,108.56,15.286839,0.010692,1.437,0,2,0,1,0,2.294051,1.166477,1.127574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.99968,6089.5,6044.6,6143.9,4.1288,4.0895,4.2238,-1.4636,-1.4911,-1.4042,1.2761613,886.7192,766.3208,943.714,4.0551,4.0256,4.0857,3.0313,3.0072,3.0574,1.7034,1.6903,1.7181,"A",271.12068175048,-24.23576471675,1.209593,0.8848,0.1201,0.141529,6.18592186313969,-1.26455078239399,271.022042196524,-0.800457954236849,-0.675295971021986,-1.88972388234934,0.0619875458217167,0.0666524130320918,0.0965920965245062,-0.0473254338404623,0.830925433840462
"Gaia DR2 2061281562744367104",304.795120354501,38.4967840814585,"kounkel2020","Gaia DR3 2061281562744367104",304.79512376523,38.49678829041,0,0,163,1636148068921376768,2061281562744367104,275350280,0.0161,0.0185,0.5298,0.0215,24.5894,5.944,-3.076,0.023,-5.087,0.024,-0.0913,-0.0395,-0.035,-0.0145,0.1754,-0.0527,-0.1531,-0.1856,-0.0503,-0.0575,437,0,436,1,-1.8686,385.3,0,0,31,FALSE,1.393,NA,NA,NA,NA,NA,NA,NA,50,28,0.033439,52,0.002005,60.97,0,0,0.936,0,447,15074.51565,4.27503,3526.18,15.241758,0.002772,52,5300.89,10.0355,528.215,16.02767,0.003466,50,14208.2,11.9769,1186.29,14.36655,0.003889,1.294,0,1,0,0,0,1.661119,0.785912,0.875208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999996,6295.1,6274.2,6306.5,3.9325,3.9197,3.9442,0.0011,-0.0264,0.0149,1.8875047,1311.86,1291.0139,1332.9155,2.3458,2.3294,2.3581,1.8514,1.8375,1.8615,1.0038,0.9961,1.0092,"PHOENIX",304.79514123282,38.49681089782,0.368082,0.383471,-0.0539,0.017943,76.3643500842136,1.35417128302866,322.550944195475,55.767227096886,-5.93558758144176,-0.328854166819255,0.023053979608194,0.0239481528353435,0.0286112696837017,-0.0280386456256335,0.557838645625634
"MPCM J180351.76-242112.9",270.965706944444,-24.3536069444444,"broos2013","Gaia DR3 4066022694218010752",270.9658657762,-24.35355150445,0,0,62,1636148068921376768,4066022694218010752,302222782,0.1228,0.1058,0.6909,0.1383,4.9943,2.645,1.76,0.148,-1.974,0.107,0.2242,-0.1677,-0.0352,-0.2136,-0.349,-0.1681,-0.4292,-0.2139,0.171,0.1965,204,0,203,1,-1.2582,197.69,0,0,95,FALSE,1.3027,1.3027,0.0308,-0.112,0.147,0.025,-0.156,-0.226,23,15,0.211204,23,0.1953,179.8,0,0,0.936,0,198,1607.18506,9.05079,177.574,17.672203,0.006706,14,607.883,33.4423,18.1771,18.378992,0.059796,14,2342.5,50.3866,46.4905,16.323698,0.023658,1.836,0,0,0,0,0,2.055294,0.706789,1.348505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,1e-06,0.999979,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4473875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",270.96585719002,-24.35354273029,2.373548,1.752986,0.2121,0.557841,6.01386738330213,-1.1992630269525,270.879881952784,-0.917276454036222,-0.855063158420768,-2.50262721856682,0.128971802298028,0.129303032493435,0.198721311607103,-0.0446160274422053,0.735516027442205
"STGLMC G003.4081+00.8871",267.5327,-25.5603,"robitaille2008","Gaia DR3 4067208277003010944",267.53266158866,-25.56024818641,0,0,64,1636148068921376768,4067208277003010944,55913749,0.0426,0.0325,0.5357,0.048,11.1521,1.528,-0.448,0.055,-1.461,0.034,0.3625,-0.0801,-0.0577,-0.1697,-0.3465,-0.2161,-0.7229,0.0253,0.4176,0.4505,437,0,428,9,6.5386,663.04,0.192,5.1651,31,FALSE,1.302,NA,NA,NA,NA,NA,NA,NA,50,18,0.081133,50,0.08144,179,62,0,1.232,0,431,10239.98599,22.0227,464.975,15.661618,0.003612,46,2758.15,19.4815,141.578,16.736998,0.008161,46,14147.6,116.534,121.403,14.371186,0.009709,1.651,0,0,0,0,0,2.365811,1.075379,1.290432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999977,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8667164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",267.53266379582,-25.56024169511,0.879735,0.574382,0.4511,0.224399,3.40809068217418,0.887139440115072,267.772744316339,-2.14009366250143,-1.48396463960069,-0.364793021335113,0.0488832008801248,0.0423253195110604,0.0586236482262682,-0.0420630129947544,0.577763012994754
