"name","ra","dec","orig_ref","DR3Name","RAdeg","DEdeg","errHalfMaj","errHalfMin","errPosAng","SolID","Source","RandomI","e_RAdeg","e_DEdeg","Plx","e_Plx","RPlx","PM","pmRA","e_pmRA","pmDE","e_pmDE","RADEcor","RAPlxcor","RApmRAcor","RApmDEcor","DEPlxcor","DEpmRAcor","DEpmDEcor","PlxpmRAcor","PlxpmDEcor","pmRApmDEcor","NAL","NAC","NgAL","NbAL","gofAL","chi2AL","epsi","sepsi","Solved","APF","nueff","pscol","e_pscol","RApscolCorr","DEpscolCorr","PlxpscolCorr","pmRApscolCorr","pmDEpscolCorr","MatchObsA","Nper","amax","MatchObs","IPDgofha","IPDgofhp","IPDfmp","IPDfow","RUWE","Dup","o_Gmag","FG","e_FG","RFG","Gmag","e_Gmag","o_BPmag","FBP","e_FBP","RFBP","BPmag","e_BPmag","o_RPmag","FRP","e_FRP","RFRP","RPmag","e_RPmag","E(BP/RP)","NBPcont","NBPblend","NRPcont","NRPblend","Mode","BP-RP","BP-G","G-RP","RV","e_RV","n_RV","o_RV","o_RVd","RVNper","RVS/N","RVgof","RVchi2","RVTdur","RVamp","RVtempTeff","RVtemplogg","RVtemp[Fe/H]","Vatmparam","vbroad","e_Vbroad","o_Vbroad","GRVSmag","e_GRVSmag","o_GRVSmag","RVSS/N","VarFlag","PQSO","PGal","PSS","Teff","b_Teff_cds","B_Teff_cdsa","logg","b_logg_cds","B_logg_cdsa","[Fe/H]","b_[Fe/H]_cds","B_[Fe/H]_cdsa","distance","Dist","b_Dist_cds","B_Dist_cdsa","A0","b_A0_cds","B_A0_cdsa","AG","b_AG_cds","B_AG_cdsa","E(BP-RP)","b_E(BP-RP)_cds","B_E(BP-RP)_cdsa","Lib","RAJ2000","DEJ2000","e_RAJ2000","e_DEJ2000","RADEcorJ2000","angDist","l","b","ecl_lon","ecl_lat","pml","pmb","pml_error","pmb_error","parallax_ext_uncert","zpEDR3","plx_corr"
"Gaia EDR3 3236873137371611648",83.5415322222222,5.48491805555556,"prisinzano2022","Gaia DR3 3236873137371611648",83.54158183468,5.48516648626,0,0,99,1636148068921376768,3236873137371611648,1422761075,0.1374,0.1115,2.083,0.1673,12.4483,1.539,-1.204,0.179,0.957,0.126,-0.0682,0.0327,0.012,0.056,-0.249,0.2073,-0.6627,-0.0532,0.3252,-0.2762,367,0,366,1,-0.5357,441.49,0.256,0.5426,95,FALSE,1.1617,1.1617,0.0291,-0.15,-0.161,0.091,-0.061,0.18,43,20,0.259386,47,0.03583,176.5,0,0,0.979,0,377,842.68073,1.32902,634.063,18.373209,0.003244,37,108.031,9.14571,11.8122,20.25467,0.091959,42,1172.87,10.2312,114.637,17.074774,0.010197,1.52,0,0,0,0,0,3.179895,1.88146,1.298435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999956,3482.5,3473,3495.4,4.2914,4.2761,4.3066,0.3689,0.3541,0.3845,0.48007682,748.5078,737.6665,761.6558,1.5774,1.5274,1.6266,0.9712,0.9399,1.0018,0.6926,0.6725,0.712,"MARCS",83.54158721236,5.48516223176,2.861451,2.098661,-0.2798,0.91185,198.874008497203,-14.4469970021691,83.2464202055131,-17.8030792454213,-1.42933496417677,-0.567861391698522,0.158934564077974,0.150521773645358,0.233548593773204,-0.0428323593768757,2.12583235937688
"Gaia EDR3 5528249150544245760",129.121285277778,-41.1215608333333,"prisinzano2022","Gaia DR3 5528249150544245760",129.12097296375,-41.12153794226,0,0,8,1636148068921376768,5528249150544245760,1768703255,0.0225,0.0271,0.9765,0.03,32.5733,7.812,-6.666,0.029,4.072,0.033,0.053,-0.0371,-0.0239,0.0387,0.1982,0.0719,-0.1416,0.0966,0.1457,0.0376,377,0,371,6,-0.1129,377.37,0.049,0.30782,31,FALSE,1.456,NA,NA,NA,NA,NA,NA,NA,43,26,0.045939,48,0.00131,174,0,0,0.995,0,396,8883.81958,3.63797,2441.97,15.815867,0.002791,44,3862.41,12.8173,301.344,16.371397,0.004557,45,7691.39,47.9611,160.367,15.032883,0.007754,1.301,0,25,0,26,0,1.338514,0.55553,0.782985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999963,5511.2,5485.7,5535.7,4.5255,4.5144,4.5365,-0.4483,-0.4792,-0.4138,1.0240656,809.4162,792.7514,828.4401,1.0245,1.0057,1.0404,0.8214,0.8059,0.8347,0.4448,0.4363,0.4519,"MARCS",129.12101229434,-41.12155604179,0.471121,0.531074,0.0318,0.850976,260.434008577868,-0.184998931925646,149.983672773229,-56.705871065897,-7.2661564896919,-2.86700363922132,0.0310543489273368,0.0310745460578141,0.0374030091731967,-0.0342420578629346,1.01074205786293
"[FKV2013] 200",85.61458,-8.18439,"fang2013","Gaia DR3 3015740943636334208",85.61457617536,-8.18438202856,0,0,40,1636148068921376768,3015740943636334208,704945680,0.1428,0.1459,2.3025,0.2093,10.9989,0.119,-0.009,0.185,-0.118,0.168,0.1103,-0.1886,-0.2755,-0.1169,-0.2674,-0.092,-0.6079,0.3364,0.2964,0.0737,366,0,363,3,1.0639,502.12,0.741,3.4104,95,FALSE,1.1364,1.1364,0.0392,-0.074,-0.197,-0.035,-0.156,0.142,42,19,0.279078,42,0.01926,144.1,0,0,1.039,0,358,751.26228,2.215,339.17,18.497889,0.004224,35,74.5754,7.84343,9.508,20.657053,0.114226,38,1169.98,12.7173,91.9992,17.07745,0.012392,1.657,0,1,0,1,0,3.579603,2.159164,1.420439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43431053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",85.61457621511,-8.1843815022,2.997632,2.783903,0.0807,0.031769,212.501327664389,-19.030356986659,84.9047862827731,-31.5461380509598,0.102156901300266,-0.0597408362573509,0.166044498511736,0.186757127076816,0.292077425604893,-0.0405231945818134,2.34302319458181
"Gaia EDR3 5979495594537114112",259.626849444444,-32.331785,"prisinzano2022","Gaia DR3 5979495594537114112",259.62698667642,-32.33195357639,0,0,76,1636148068921376768,5979495594537114112,1390287634,0.1021,0.0723,0.7765,0.108,7.1919,2.349,1.749,0.132,-1.568,0.092,0.181,-0.1271,-0.0898,-0.2712,-0.1864,-0.1997,-0.3433,-0.1953,0.1337,0.0741,255,0,254,1,-0.5409,247.48,0,0,31,FALSE,1.325,NA,NA,NA,NA,NA,NA,NA,29,16,0.184968,29,0.06686,0.1084,0,0,0.975,0,243,1654.34671,3.90462,423.689,17.6408,0.003763,28,386.377,6.78622,56.9356,18.871014,0.019273,29,1890.99,17.8367,106.017,16.55617,0.010916,1.377,0,0,0,0,0,2.314844,1.230213,1.084631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999661,3669.3,3651.6,3691.9,4.2148,4.1611,4.2645,-0.3834,-0.4063,-0.3547,1.28783,827.8221,784.4708,870.8055,1.0699,1.038,1.1015,0.7228,0.7011,0.7448,0.4184,0.4067,0.4309,"PHOENIX",259.6269774771,-32.33194660568,2.125472,1.505227,0.0952,0.736583,353.967008637871,3.0249971096158,261.133630799126,-9.21122090251574,-0.280467961177384,-2.33215838286189,0.1107265224615,0.116737471377373,0.124746831821796,-0.0248622618964327,0.801362261896433
"J032110.92+600020.7",50.2955084970368,60.0057700975006,"winston2020","Gaia DR3 462482838650572288",50.29552751329,60.0057711391,0,0,42,1636148068921376768,462482838650572288,1582064725,0.025,0.0258,0.81,0.0358,22.6406,1.178,0.555,0.039,-1.039,0.039,0.2896,-0.0285,-0.031,0.2558,-0.01,0.2275,0.3202,0.0585,0.224,0.1507,382,0,381,1,4.9529,1033.5,0.244,20.491,95,FALSE,1.3373,1.3373,0.007,-0.09,0.054,0.008,0.061,-0.025,44,22,0.058869,53,0.00199,96.49,1,0,1.185,0,445,24819.80924,28.1927,880.363,14.700371,0.003019,49,7639.16,35.8244,213.239,15.630928,0.005806,49,25726.1,92.8817,276.977,13.721961,0.005445,1.344,0,1,0,1,0,1.908967,0.930557,0.97841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999994,5969.6,5947.3,5986.5,3.5588,3.5517,3.5687,-0.4004,-0.4031,-0.398,1.2345679,1247.1492,1234.3044,1254.941,2.8941,2.8809,2.9044,2.2303,2.219,2.2392,1.2293,1.2229,1.2344,"MARCS",50.29552257682,60.0057757547,0.625795,0.61049,0.1328,0.034428,140.638862308627,2.38639611161261,65.394915988419,39.9127976449431,1.02918787836443,-0.572990672723148,0.0362258376647905,0.0415895261512347,0.0615573110749793,-0.0392978936839206,0.849297893683921
"SPICY 68657",268.789301,-30.002695,"kuhn2021","Gaia DR3 4056286686373082496",268.78929684982,-30.00273336621,0,0,61,1636148068921376768,4056286686373082496,1683820856,0.1286,0.1043,0.4857,0.1684,2.8842,8.826,-2.041,0.149,-8.586,0.103,0.3353,-0.3411,-0.0608,-0.2208,-0.4774,0.0508,-0.755,-0.3307,0.4595,0.1136,398,0,396,2,0.8342,493.14,0.382,1.9345,95,FALSE,1.2353,1.2353,0.0253,0.067,0.08,-0.155,0.125,-0.221,45,17,0.211708,45,0.08399,8.868,0,0,1.029,0,387,1336.84477,2.03748,656.126,17.872164,0.003214,19,349.142,17.3748,20.0947,18.981035,0.054103,17,1758.28,51.1538,34.3723,16.635178,0.031813,1.576,0,19,0,17,0,2.345858,1.108871,1.236986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999994,3955,3913.9,3995.7,4.7164,4.6971,4.7364,-0.3183,-0.3659,-0.2692,2.0588841,483.018,462.0828,503.753,1.8403,1.7606,1.9169,1.2616,1.2052,1.317,0.6994,0.6706,0.7274,"PHOENIX",268.78930732212,-30.00269520405,2.396867,1.731662,0.1172,0.138723,0.147642571888497,-2.32901970872264,268.944624801324,-6.56785026680416,-8.44593578013242,-2.55954015359772,0.122737235622161,0.133212503136268,0.237581962946354,-0.0546559236445717,0.540355923644572
"Gaia EDR3 251680582420669696",59.550635,51.8920191666667,"prisinzano2022","Gaia DR3 251680582420669696",59.55022762686,51.8921991855,0,0,83,1636148068921376768,251680582420669696,879818083,0.103,0.0854,1.0485,0.1441,7.2738,2.044,-0.327,0.162,-2.017,0.132,0.0495,0.0988,0.1089,0.1061,0.0255,0.0974,0.4893,-0.0849,0.0384,0.0314,390,0,389,1,-1.7341,356.14,0,0,31,TRUE,1.258,NA,NA,NA,NA,NA,NA,NA,45,18,0.225231,49,0.01934,172.7,0,0,0.937,0,422,1031.1917,1.26947,812.298,18.154018,0.003062,44,186.546,8.60576,21.6769,19.661577,0.050165,43,1303.57,8.94326,145.761,16.960056,0.008353,1.445,0,1,0,1,0,2.701521,1.507559,1.193962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999806,3634.8,3619.3,3652.8,4.3766,4.3441,4.394,-0.3081,-0.3322,-0.2836,0.9537435,655.4644,639.5125,678.6305,1.8709,1.831,1.9068,1.2255,1.199,1.2499,0.7296,0.7149,0.7427,"PHOENIX",59.55022998044,51.89220815149,2.585563,2.065644,0.0238,1.113167,149.621008499624,-1.02899770557538,68.6743683394837,30.6832692329853,1.05731539011136,-1.74851427384327,0.147922100057214,0.14760437769478,0.161102379515273,-0.0174236568766517,1.06592365687665
"Gaia DR2 3051186484104217984",103.9717,-7.277,"kerr2021","Gaia DR3 3051186484104217984",103.97174103642,-7.27695688737,0,0,143,1636148068921376768,3051186484104217984,840415786,0.0567,0.066,3.6264,0.0757,47.9336,8.104,-7.773,0.074,-2.293,0.09,-0.5056,0.0501,-0.1383,0.2915,-0.2625,0.2728,0.0164,0.1429,-0.3256,-0.438,309,0,307,2,0.3453,349.82,0.123,0.549,31,FALSE,1.219,NA,NA,NA,NA,NA,NA,NA,35,14,0.14,43,0.01958,125.9,0,0,1.013,0,367,3447.57992,3.96452,869.609,16.84358,0.003025,38,419.849,7.13373,58.8541,18.78081,0.018658,39,4900.16,14.7176,332.946,15.522369,0.004992,1.543,0,1,0,2,0,3.25844,1.937229,1.321211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999972,3312.1,3294.8,3317.9,4.4167,4.4077,4.427,0.1967,0.1846,0.2065,0.27575558,261.1502,256.2592,264.7939,1.4638,1.4202,1.4879,0.8925,0.8649,0.9075,0.6376,0.6191,0.6477,"MARCS",103.97177586417,-7.27694669755,1.19293,1.434294,-0.462,0.213455,219.917050949552,-2.32809130247788,106.044582208269,-29.941387551461,-1.4936969282889,-7.96531527853231,0.0996013655483119,0.0604612932454437,0.089952464708187,-0.0469700213830795,3.67337002138308
"Gaia EDR3 3441209990347329792",84.7859066666667,26.3912341666667,"prisinzano2022","Gaia DR3 3441209990347329792",84.785963777,26.39136900477,0,0,122,1636148068921376768,3441209990347329792,333584896,0.0483,0.0374,1.2475,0.0448,27.8274,5.064,-1.404,0.074,-4.865,0.037,-0.5277,0.0359,-0.2226,0.3648,-0.2226,0.4605,-0.8368,-0.0362,0.3012,-0.6531,423,0,421,2,-0.3538,419.22,0,0,31,FALSE,1.351,NA,NA,NA,NA,NA,NA,NA,49,16,0.111322,51,0.08619,94.91,0,0,0.987,0,417,8102.57262,28.611,283.198,15.91581,0.004721,50,2343.15,40.4608,57.9114,16.914043,0.018955,50,8774.01,79.8125,109.933,14.8899,0.010575,1.372,0,1,0,1,0,2.024143,0.998234,1.025909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999858,5652.3,5501.4,5705.9,4.2387,4.213,4.258,-3.2921,-3.9653,-2.2639,0.80160326,675.0685,656.0662,716.2547,3.0527,2.9677,3.0936,2.3107,2.2365,2.3435,1.301,1.2549,1.3184,"MARCS",84.7859707435,26.39139062882,1.191492,0.629408,-0.6566,0.51918,181.409008606148,-2.55899696714795,85.3240177637295,3.03654815126616,3.37372823111822,-3.77589708844878,0.0643481991871081,0.0520029735820582,0.0545885965273281,-0.0360608328284536,1.28356083282845
"Gaia EDR3 6110667061149400192",208.66607,-41.4055469444444,"luhman2022a","Gaia DR3 6110667061149400192",208.66607028222,-41.40554721288,0,0,135,1636148068921376768,6110667061149400192,1412642978,0.0342,0.0342,6.986,0.0391,178.5606,30.503,-23.508,0.039,-19.437,0.049,-0.2379,-0.4824,-0.0746,-0.2536,0.121,-0.2613,0.4102,-0.0924,0.1854,-0.3607,181,0,178,3,3.4802,258.39,0.131,2.7885,31,FALSE,1.244,NA,NA,NA,NA,NA,NA,NA,21,13,0.075679,30,0.01273,14.74,0,0,1.191,0,233,16397.57961,18.5051,886.111,15.150417,0.003015,27,2506.54,21.8232,114.857,16.840857,0.009856,28,21912,53.2706,411.335,13.896188,0.00461,1.489,0,16,0,0,0,2.944669,1.690439,1.25423,52.23,5.38,2,7,1,6,5.5431,NA,NA,780.714,NA,3200,3.5,-0.5,111,NA,NA,NA,13.368711,0.128736,9,NA,"VARIABLE",0,0,0.992964,3404.2,3388.7,3415.9,4.4749,4.4622,4.4845,0.1218,0.1075,0.143,0.14314343,143.0071,141.6294,144.7976,1.0861,1.0528,1.1156,0.6835,0.662,0.7025,0.4658,0.4517,0.4783,"MARCS",208.66620958011,-41.40546082505,0.630166,0.77598,-0.34,0.001231,315.482890427227,19.9201766866639,222.030061331835,-27.6253494981135,-27.7249387539334,-12.7181289540028,0.0351575844510735,0.0518260962794385,0.0503624496423847,-0.0526484286271822,7.03864842862718
