"name","ra","dec","orig_ref","DR3Name","RAdeg","DEdeg","errHalfMaj","errHalfMin","errPosAng","SolID","Source","RandomI","e_RAdeg","e_DEdeg","Plx","e_Plx","RPlx","PM","pmRA","e_pmRA","pmDE","e_pmDE","RADEcor","RAPlxcor","RApmRAcor","RApmDEcor","DEPlxcor","DEpmRAcor","DEpmDEcor","PlxpmRAcor","PlxpmDEcor","pmRApmDEcor","NAL","NAC","NgAL","NbAL","gofAL","chi2AL","epsi","sepsi","Solved","APF","nueff","pscol","e_pscol","RApscolCorr","DEpscolCorr","PlxpscolCorr","pmRApscolCorr","pmDEpscolCorr","MatchObsA","Nper","amax","MatchObs","IPDgofha","IPDgofhp","IPDfmp","IPDfow","RUWE","Dup","o_Gmag","FG","e_FG","RFG","Gmag","e_Gmag","o_BPmag","FBP","e_FBP","RFBP","BPmag","e_BPmag","o_RPmag","FRP","e_FRP","RFRP","RPmag","e_RPmag","E(BP/RP)","NBPcont","NBPblend","NRPcont","NRPblend","Mode","BP-RP","BP-G","G-RP","RV","e_RV","n_RV","o_RV","o_RVd","RVNper","RVS/N","RVgof","RVchi2","RVTdur","RVamp","RVtempTeff","RVtemplogg","RVtemp[Fe/H]","Vatmparam","vbroad","e_Vbroad","o_Vbroad","GRVSmag","e_GRVSmag","o_GRVSmag","RVSS/N","VarFlag","PQSO","PGal","PSS","Teff","b_Teff_cds","B_Teff_cdsa","logg","b_logg_cds","B_logg_cdsa","[Fe/H]","b_[Fe/H]_cds","B_[Fe/H]_cdsa","distance","Dist","b_Dist_cds","B_Dist_cdsa","A0","b_A0_cds","B_A0_cdsa","AG","b_AG_cds","B_AG_cdsa","E(BP-RP)","b_E(BP-RP)_cds","B_E(BP-RP)_cdsa","Lib","RAJ2000","DEJ2000","e_RAJ2000","e_DEJ2000","RADEcorJ2000","angDist","l","b","ecl_lon","ecl_lat","pml","pmb","pml_error","pmb_error","parallax_ext_uncert","zpEDR3","plx_corr"
"SPICY 82989",275.798542,-13.52139,"kuhn2021","Gaia DR3 4152439905797431808",275.79852545864,-13.52139722446,0,0,58,1636148068921376768,4152439905797431808,970869617,0.2152,0.1919,0.9863,0.2316,4.2591,1.406,0.063,0.253,-1.405,0.198,0.2265,-0.1123,-0.0942,-0.2236,-0.2703,-0.2483,-0.4117,0.0362,0.1091,0.2717,202,0,201,1,1.6107,245.73,0.682,1.5689,31,FALSE,1.23,NA,NA,NA,NA,NA,NA,NA,23,17,0.376478,23,0.1834,16.59,0,0,1.081,0,197,574.3993,14.0519,40.8771,18.789331,0.026704,19,83.435,11.2643,7.40703,20.535172,0.146608,20,852.945,57.8022,14.7563,17.420593,0.073675,1.63,0,19,0,20,0,3.114578,1.74584,1.368738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999999,3647.7,3621.3,3674.9,4.0486,4.023,4.088,-1.2726,-1.3367,-1.2048,1.0138903,468.3326,449.0851,487.4482,3.9992,3.8812,4.106,2.5595,2.4786,2.6296,1.4763,1.4406,1.5113,"MARCS",275.79852517112,-13.52139098182,4.070155,3.252692,0.2898,0.063472,17.7084342487629,-0.0139498256692211,275.721097107378,9.80280737068904,-1.21140775743022,-0.71448250170168,0.236500684719277,0.217440626671542,0.258601982028755,-0.0170444246789482,1.00334442467895
"SPICY 26790",230.138365,-58.405059,"kuhn2021","Gaia DR3 5876911748125709312",230.13827413682,-58.40520895744,0,0,149,1636148068921376768,5876911748125709312,611167650,0.0076,0.0094,2.5506,0.0133,191.6809,55.809,-31.611,0.012,-45.993,0.014,-0.4091,0.1134,-0.1729,-0.2295,-0.111,-0.1942,0.1387,-0.0354,0.1969,-0.1483,585,585,571,14,-4.176,688.67,0.049,3.2009,31,FALSE,1.52,NA,NA,NA,NA,NA,NA,NA,67,21,0.020164,77,0.02115,37.57,0,0,0.878,0,639,229764.51425,35.8489,6409.25,12.28416,0.002761,74,114493,41.8555,2735.44,12.691593,0.002818,70,165862,38.3514,4324.8,11.698528,0.003788,1.22,0,0,0,0,0,0.993065,0.407434,0.585631,-16.89,1.03,1,24,11,11,34.359,0.25116,0.259322,901.956,19.69,5500,0.5,-1,111,NA,NA,NA,11.426593,0.014235,13,NA,"NOT_AVAILABLE",0,0,0.999969,5637.1,5631.3,5671.3,4.1503,4.1476,4.1525,-1.2352,-1.2449,-1.1961,0.3920646,384.0026,382.3009,387.8658,0.4392,0.4354,0.4602,0.3639,0.3607,0.3817,0.1991,0.1974,0.2089,"MARCS",230.13854230087,-58.40500454371,0.199918,0.22279,-0.1317,0.566395,321.436366426404,-0.995958451789657,244.61893020118,-38.4272399014792,-51.4200375430091,-21.6931120191532,0.0116828570981942,0.0142657229057336,0.0274217923661917,-0.0202003531811658,2.57080035318117
"[FVW2009] L1630N 032",86.54296,-0.00186,"fang2009","Gaia DR3 3219147051426692992",86.54292634247,-0.00187488001,0,0,113,1636148068921376768,3219147051426692992,293479377,0.1111,0.0968,2.3331,0.1301,17.9372,1.797,-1.372,0.141,-1.161,0.114,-0.1443,-0.134,-0.2156,0.1697,-0.2492,0.2381,-0.6843,0.023,0.2779,-0.2195,389,0,386,3,0.337,450.13,0.358,1.4898,31,FALSE,1.198,NA,NA,NA,NA,NA,NA,NA,45,21,0.209486,46,0.148,75.43,0,0,1.011,0,376,1151.67937,13.7227,83.9249,18.034039,0.013227,42,130.558,12.1995,10.7019,20.049032,0.101491,41,1800.59,64.3151,27.9964,16.609356,0.038965,1.677,1,1,0,1,0,3.439676,2.014994,1.424683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4286143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",86.54293244003,-0.00186971929,2.276435,1.883808,-0.2296,0.13248,205.33062398398,-14.4805347009177,86.2328411741844,-23.3959441725226,0.378072024310368,-1.75709036319532,0.132115624598807,0.124187204400723,0.145517923138948,-0.0316154224951369,2.36471542249514
"Gaia EDR3 4372792928039651712",266.315025833333,1.05499277777778,"prisinzano2022","Gaia DR3 4372792928039651712",266.3149053855,1.05505034832,0,0,51,1636148068921376768,4372792928039651712,119943905,0.1172,0.113,2.0602,0.1615,12.7539,10.566,0.211,0.132,-10.564,0.118,0.1854,0.0522,-0.2341,-0.2439,-0.4699,-0.3223,-0.7411,0.0197,0.4908,0.2751,424,0,423,1,0.1125,452.6,0,0,31,FALSE,1.233,NA,NA,NA,NA,NA,NA,NA,48,19,0.219804,49,0.05403,178.6,1,0,1.003,0,416,1008.24636,1.86149,541.634,18.17845,0.003407,42,128.443,6.15405,20.8713,20.066767,0.052095,43,1370.28,7.63686,179.429,16.905874,0.007134,1.486,0,0,0,0,0,3.160892,1.888317,1.272575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999911,3496,3482.8,3510.2,4.3204,4.2983,4.3412,0.0838,0.0616,0.1064,0.48538977,633.8521,621.4589,647.1744,1.9161,1.8689,1.9616,1.2022,1.172,1.2315,0.7946,0.7774,0.8116,"MARCS",266.31490444697,1.05509729989,2.142431,1.979467,0.291,0.480531,26.1820082736513,15.1759970273126,265.952364049649,24.4425120253967,-9.23959745201442,-5.12566638835661,0.135022234107141,0.114529456022093,0.180480159275817,-0.0195811375365596,2.07978113753656
"HD 132481",225.4098,-56.2602,"xu2021","Gaia DR3 5881255574938572928",225.40984492256,-56.26020290768,0,0,149,1636148068921376768,5881255574938572928,1120086567,0.0291,0.0359,1.2727,0.0417,30.5558,6.039,-4.183,0.043,-4.356,0.065,-0.389,-0.0685,-0.2,0.0172,-0.053,-0.0502,0.208,0.0209,-0.1678,-0.5149,261,261,261,0,-3.0594,2339.8,0.298,69.947,31,FALSE,1.795,NA,NA,NA,NA,NA,NA,NA,30,17,0.097197,30,0.006531,6.294,48,0,0.867,0,259,33551171.62436,27168.5,1234.93,6.873097,0.002892,29,25940800,57930,447.795,6.803586,0.003696,29,13726100,44035.5,311.705,6.904028,0.00514,1.182,0,29,0,29,0,-0.100442,-0.069512,-0.030931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999999,17301.7,16815.7,18397.4,3.6659,3.5153,3.9447,0.5984,-0.1624,0.7193,0.78573114,648.391,443.29,805.5644,0.3753,0.3624,0.3923,0.3735,0.3604,0.391,0.2017,0.1946,0.2112,"A",225.40987839454,-56.26018354846,0.701472,1.031293,-0.5131,0.090431,320.332457912409,2.14848325592711,240.659315416062,-37.2728821407037,-5.75880958087624,-1.81888350677223,0.0344093126102869,0.0699285292687294,0.106363035795593,-0.0530579414922198,1.32575794149222
"MPCM J052304.44+332619.2",80.76853,33.43869,"broos2013","Gaia DR3 181175331300897280",80.7685164223,33.43868831158,0,0,95,1636148068921376768,181175331300897280,1541925098,0.0453,0.0326,0.4916,0.0534,9.2063,2.949,-0.36,0.062,-2.927,0.043,-0.0587,0.0542,-0.108,0.0667,-0.3311,0.0976,-0.4834,-0.026,0.3346,-0.1697,217,0,216,1,3.1354,293.76,0.131,1.773,31,FALSE,1.513,NA,NA,NA,NA,NA,NA,NA,25,16,0.086713,25,0.05102,168.7,0,0,1.155,0,211,8819.64218,4.36115,2022.32,15.823739,0.002807,22,4315.86,11.5352,374.146,16.250874,0.004026,21,6449.61,9.18666,702.062,15.224062,0.004084,1.221,0,1,0,1,0,1.026812,0.427135,0.599677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999998,7559,7462.7,7612.9,4.4195,4.4015,4.4323,-0.7825,-0.7953,-0.758,2.0341742,1768.9962,1750.9344,1795.9742,1.5075,1.4683,1.5326,1.2965,1.2607,1.3194,0.7043,0.6853,0.7166,"A",80.76851833793,33.43870131979,0.991862,0.698136,-0.1724,0.041239,173.602923382075,-1.60654448082352,82.1812155208896,10.2496283900255,2.21124644815526,-1.95123503082554,0.053926908627241,0.0527720430333068,0.0648181248272938,-0.0343356438157939,0.525935643815794
"Gaia DR2 182639399753458688",81.8206651233626,34.4265930729304,"kounkel2020","Gaia DR3 182639399753458688",81.82067230475,34.42658967584,0,0,82,1636148068921376768,182639399753458688,977972453,0.018,0.0134,0.4954,0.0214,23.1879,2.276,-0.015,0.023,-2.276,0.016,0.082,-0.0641,0.0394,-0.019,-0.3171,0.0636,-0.4355,-0.004,0.3114,-0.0871,255,0,252,3,-1.0327,230.27,0,0,31,FALSE,1.612,NA,NA,NA,NA,NA,NA,NA,30,16,0.031735,30,0.08581,176.3,1,0,0.953,0,229,44638.58105,19.1697,2328.6,14.063091,0.002794,18,26560.8,23.1649,1146.6,14.277939,0.002946,17,26385.5,29.9116,882.113,13.694484,0.003975,1.186,0,1,0,0,0,0.583455,0.214848,0.368608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999979,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.018571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",81.82067238416,34.42659979149,0.365227,0.260907,-0.0873,0.024583,173.274792631249,-0.329708749062953,83.1295865600843,11.1821807954979,1.88226023370594,-1.27964737822935,0.0192424829853117,0.0203648434455064,0.03224577028285,-0.039810267905288,0.535210267905288
"Gaia DR2 3211625502835605376",75.8442,-4.9541,"kerr2021","Gaia DR3 3211625502835605376",75.84416314151,-4.95410821472,0,0,77,1636148068921376768,3211625502835605376,140593827,0.0229,0.0157,5.9297,0.0342,173.3575,18.464,12.196,0.032,-13.863,0.022,0.1961,0.0088,-0.2983,-0.0858,-0.0869,-0.1111,-0.2966,0.3997,-0.0935,-0.216,442,0,441,1,1.0924,483.3,0,1.925e-15,31,FALSE,1.251,NA,NA,NA,NA,NA,NA,NA,51,22,0.046322,53,0.006347,104.4,0,0,1.036,0,439,15676.4368,12.0121,1305.06,15.199248,0.002878,51,2543.61,11.2758,225.582,16.824919,0.005563,48,20490.3,37.688,543.683,13.969023,0.004275,1.469,0,5,0,1,0,2.855896,1.62567,1.230226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.997667,3401.1,3399.1,3402.1,4.2022,4.2008,4.2048,-0.3065,-0.3121,-0.3004,0.1686426,176.71,176.2119,177.3531,1.1056,1.0921,1.1131,0.7042,0.6954,0.709,0.4653,0.46,0.4682,"MARCS",75.84410873449,-4.95404659957,0.512247,0.360216,-0.2011,0.135462,204.631356401815,-26.2395452648105,74.0401664345788,-27.6124711933438,17.9566637472445,4.29923389319491,0.0269766662321973,0.0279331251204841,0.0439744440242383,-0.0509747208712063,5.98067472087121
"Gaia EDR3 991866454416678400",100.820124166667,51.9385097222222,"prisinzano2022","Gaia DR3 991866454416678400",100.81965520797,51.93864066957,0,0,109,1636148068921376768,991866454416678400,1244328053,0.0385,0.0354,1.2178,0.0443,27.4893,12.574,-3.071,0.043,-12.194,0.038,-0.0657,0.1326,-0.3192,0.0216,-0.2169,-0.0293,-0.4852,0.2223,0.1542,-0.1369,240,0,240,0,1.0779,267.5,0.072,0.46213,31,TRUE,1.397,NA,NA,NA,NA,NA,NA,NA,28,18,0.06297,28,0.03404,5.849,0,0,1.049,0,238,7764.65319,3.67355,2113.66,15.962062,0.002803,24,2777.81,17.3495,160.109,16.729286,0.007333,25,7140.93,10.8594,657.579,15.113509,0.004124,1.277,0,0,0,0,0,1.615777,0.767224,0.848553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999884,4417,4408.5,4424.2,4.386,4.3233,4.4192,0.4663,0.4295,0.4883,0.82115287,833.3659,794.2001,913.2425,0.5027,0.4876,0.5165,0.3727,0.3614,0.3831,0.1962,0.1903,0.2016,"PHOENIX",100.81967734923,51.93869486352,0.699432,0.633636,-0.1303,1.142597,163.853008023412,19.846002678261,97.5880926962195,28.7838622381031,10.5312158028324,-6.87154791252831,0.0403054206071413,0.0408469468832301,0.0539641296057972,-0.0307559873660626,1.24855598736606
"Gaia DR2 3217045442326304896",82.5233333397958,-2.19970709866299,"kounkel2020","Gaia DR3 3217045442326304896",82.52333778505,-2.1997103076,0,0,64,1636148068921376768,3217045442326304896,1027484329,0.0421,0.0337,2.8992,0.06,48.3006,0.632,0.594,0.054,-0.214,0.041,0.2781,-0.1152,-0.2267,-0.2243,-0.0233,-0.145,-0.5129,0.2343,0.1211,0.0905,465,0,462,3,2.2031,551.69,0.066,0.28457,31,FALSE,1.259,NA,NA,NA,NA,NA,NA,NA,53,22,0.077331,53,0.02083,91.35,0,0,1.073,0,457,4298.6547,2.79945,1535.54,16.604036,0.002845,49,726.35,7.34326,98.9139,18.185677,0.011326,47,5519.57,11.6693,472.999,15.393131,0.004422,1.453,0,49,0,47,0,2.792545,1.58164,1.210905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.992964,3432.3,3428.7,3437,4.1389,4.0865,4.1582,-0.3663,-0.3888,-0.3363,0.34492275,377.9276,373.6175,404.6,1.0616,1.0473,1.0746,0.6817,0.6723,0.6901,0.4446,0.439,0.4499,"MARCS",82.52333514265,-2.19970935602,0.870409,0.676172,0.1054,0.019727,205.381785440275,-19.0606639430233,81.72238243275,-25.4244051283428,0.467839342497502,0.423979185351716,0.0422744480717027,0.053008216723758,0.071626192551267,-0.0405810186404439,2.93978101864044
