"name","ra","dec","orig_ref","DR3Name","RAdeg","DEdeg","errHalfMaj","errHalfMin","errPosAng","SolID","Source","RandomI","e_RAdeg","e_DEdeg","Plx","e_Plx","RPlx","PM","pmRA","e_pmRA","pmDE","e_pmDE","RADEcor","RAPlxcor","RApmRAcor","RApmDEcor","DEPlxcor","DEpmRAcor","DEpmDEcor","PlxpmRAcor","PlxpmDEcor","pmRApmDEcor","NAL","NAC","NgAL","NbAL","gofAL","chi2AL","epsi","sepsi","Solved","APF","nueff","pscol","e_pscol","RApscolCorr","DEpscolCorr","PlxpscolCorr","pmRApscolCorr","pmDEpscolCorr","MatchObsA","Nper","amax","MatchObs","IPDgofha","IPDgofhp","IPDfmp","IPDfow","RUWE","Dup","o_Gmag","FG","e_FG","RFG","Gmag","e_Gmag","o_BPmag","FBP","e_FBP","RFBP","BPmag","e_BPmag","o_RPmag","FRP","e_FRP","RFRP","RPmag","e_RPmag","E(BP/RP)","NBPcont","NBPblend","NRPcont","NRPblend","Mode","BP-RP","BP-G","G-RP","RV","e_RV","n_RV","o_RV","o_RVd","RVNper","RVS/N","RVgof","RVchi2","RVTdur","RVamp","RVtempTeff","RVtemplogg","RVtemp[Fe/H]","Vatmparam","vbroad","e_Vbroad","o_Vbroad","GRVSmag","e_GRVSmag","o_GRVSmag","RVSS/N","VarFlag","PQSO","PGal","PSS","Teff","b_Teff_cds","B_Teff_cdsa","logg","b_logg_cds","B_logg_cdsa","[Fe/H]","b_[Fe/H]_cds","B_[Fe/H]_cdsa","distance","Dist","b_Dist_cds","B_Dist_cdsa","A0","b_A0_cds","B_A0_cdsa","AG","b_AG_cds","B_AG_cdsa","E(BP-RP)","b_E(BP-RP)_cds","B_E(BP-RP)_cdsa","Lib","RAJ2000","DEJ2000","e_RAJ2000","e_DEJ2000","RADEcorJ2000","angDist","l","b","ecl_lon","ecl_lat","pml","pmb","pml_error","pmb_error","parallax_ext_uncert","zpEDR3","plx_corr"
"J205006.22+465637.0",312.525941901193,46.9436320986964,"winston2020","Gaia DR3 2166498640772614656",312.5260201255,46.94359538042,0,0,104,1636148068921376768,2166498640772614656,625400942,0.0088,0.0081,0.86,0.0099,86.542,6.636,6.412,0.012,1.712,0.01,-0.0448,0.1244,-0.2055,-0.0317,0.2773,-0.0369,-0.196,-0.0784,-0.1759,-0.0818,453,444,452,1,-0.3897,581.45,0.044,2.3526,31,FALSE,1.41,NA,NA,NA,NA,NA,NA,NA,52,29,0.016587,55,0.007838,19.97,1,0,0.986,0,463,154956.79858,19.3994,7987.73,12.711841,0.002759,53,57773,32.0615,1801.94,13.434231,0.002854,52,139621,38.5245,3624.21,11.88552,0.003791,1.274,0,18,0,0,0,1.548711,0.72239,0.826321,-24.69,0.61,1,16,13,14,22.464,0.16824,0.496157,878.54,7,4250,2,-1,111,NA,NA,NA,11.570518,0.027733,3,NA,"NOT_AVAILABLE",0,0,0.999998,5068.8,5065.1,5072.7,3.1023,3.0932,3.1121,-0.0829,-0.0836,-0.0821,1.1627907,1126.4366,1113.6132,1138.1552,1.1778,1.1746,1.1812,0.9036,0.901,0.9063,0.4792,0.4778,0.4807,"PHOENIX",312.52597838699,46.94358777214,0.191386,0.15486,-0.0768,0.233316,86.5232825862985,1.85914151611422,339.669949362221,60.5199219185418,5.38668448626324,-3.87663749213812,0.0103940172540578,0.011660377580608,0.021735971921972,-0.0214286972548815,0.881428697254881
"Gaia EDR3 4118883708597382400",266.722011388889,-20.6447166666667,"prisinzano2022","Gaia DR3 4118883708597382400",266.72187052777,-20.64497510877,0,0,64,1636148068921376768,4118883708597382400,203705991,0.1253,0.103,1.5244,0.1432,10.6446,6.262,1.881,0.149,-5.973,0.105,0.2508,-0.0645,-0.2522,-0.142,-0.3049,-0.1171,-0.8028,-0.1821,0.3903,0.2579,348,0,347,1,9.6397,724.63,0.599,9.4549,95,FALSE,1.2617,1.2617,0.0243,-0.003,0.035,-0.15,-0.017,-0.211,40,16,0.219126,40,0.05247,176.6,66,0,1.39,0,342,2350.34037,5.75003,408.753,17.25954,0.003827,38,468.93,9.02223,51.975,18.660772,0.021075,38,3791.1,22.4871,168.59,15.800983,0.007467,1.813,0,38,0,38,0,2.859789,1.401232,1.458557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999772,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6559958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",266.72186159349,-20.64494856192,2.426346,1.757878,0.2566,1.04442,7.24400855810054,4.05499692352745,266.92915217197,2.75962761314545,-4.15015130277989,-4.68947056329756,0.132494664915543,0.125184518886794,0.211410493203159,-0.0574912428421165,1.58189124284212
"Gaia EDR3 5517956656556677504",121.175310833333,-47.2909166666667,"prisinzano2022","Gaia DR3 5517956656556677504",121.1755035361,-47.29086747363,0,0,179,1636148068921376768,5517956656556677504,309293788,0.0743,0.086,1.4198,0.0891,15.9313,9.103,-5.117,0.102,7.528,0.125,-0.0026,-0.041,-0.0937,-0.0224,0.1015,-0.0088,-0.2512,0.1434,-0.2342,-0.081,353,9,349,4,-0.2193,355.55,0,0,31,FALSE,1.262,NA,NA,NA,NA,NA,NA,NA,41,27,0.175827,45,0.01004,67.98,0,0,0.991,0,361,1282.02221,1.89881,675.173,17.917627,0.00319,41,216.406,6.54798,33.0493,19.500368,0.03297,41,1632.29,8.3629,195.182,16.715902,0.006725,1.442,0,2,0,0,0,2.784466,1.582741,1.201725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999019,3414.6,3408.4,3421.4,4.1155,4.0977,4.1375,-0.3515,-0.3761,-0.3168,0.70432454,713.5048,704.8502,724.5886,0.9827,0.9531,1.0143,0.6296,0.6105,0.6499,0.4144,0.4026,0.427,"MARCS",121.17553706552,-47.29090093325,1.636636,2.01808,-0.0782,0.502764,262.328008172379,-8.35799911650707,145.629520254996,-64.824914263477,-9.09117508684127,-0.452778688098877,0.123001116908089,0.104401749216009,0.100603985706685,-0.0327970470748914,1.45259704707489
"HD 73500",129.3203,-39.6896,"xu2021","Gaia DR3 5528621717487040384",129.320293729,-39.68964796068,0,0,7,1636148068921376768,5528621717487040384,771332215,0.0088,0.0111,1.0568,0.0125,84.6589,6.864,-5.499,0.011,4.109,0.015,0.061,-0.0055,-0.1118,0.0435,0.1322,0.0615,-0.1124,0.1381,0.1797,0.0528,411,411,407,4,-5.1357,757.02,0.082,8.4197,31,FALSE,1.655,NA,NA,NA,NA,NA,NA,NA,47,26,0.020833,52,0.01601,55.47,0,0,0.824,0,435,5041959.92728,1086.08,4642.37,8.930868,0.002765,47,3200910,1694.6,1888.89,9.075357,0.002849,45,2790450,1093.95,2550.81,8.633711,0.003803,1.188,0,0,0,0,0,0.441647,0.144489,0.297157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0.008239,0,5.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9462528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",129.32032548987,-39.68966622091,0.184435,0.240787,0.0474,0.17353,259.383483943014,0.799851706867928,149.07170883896,-55.3590443175829,-6.59669010820667,-1.89909494662279,0.0133658072408679,0.0129365836603008,0.0262275203559711,-0.0130166780318006,1.0698166780318
"HD 54104",106.8362,-9.5832,"xu2021","Gaia DR3 3049687781034121472",106.83619029805,-9.58321738087,0,0,144,1636148068921376768,3049687781034121472,74102574,0.0192,0.0208,0.8299,0.0235,35.3605,1.403,-1.393,0.024,0.166,0.025,-0.2354,0.0568,-0.0818,0.2055,-0.1739,0.1897,-0.165,0.1203,-0.1288,-0.2373,256,256,252,4,1.5241,914.7,0.16,20.279,31,FALSE,1.696,NA,NA,NA,NA,NA,NA,NA,29,17,0.038384,29,0.04602,130.8,0,0,1.068,0,246,9002877.9795,16316.5,551.765,8.301414,0.003386,28,6133580,40073.4,153.059,8.369257,0.007623,28,4504350,24580.5,183.249,8.113815,0.007028,1.182,0,2,0,7,0,0.255442,0.067843,0.187598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999991,15008.6,15002.1,15024.1,3.3946,3.3911,3.3975,0.2771,0.2668,0.2866,1.2049644,1100.2316,1096.7255,1104.4636,0.9477,0.9464,0.9492,0.9125,0.9113,0.9139,0.493,0.4923,0.4938,"OB",106.83619657781,-9.58321812047,0.380703,0.406111,-0.2543,0.071423,223.264811978403,-0.862427193899804,109.653501481652,-31.8809438646282,-0.788106553152378,-1.16055721999317,0.0270357627119823,0.0216810409017045,0.0509194083706222,-0.0177391278271622,0.847639127827162
"SPCM J225629.22+623939.4",344.121758888889,62.6609461111111,"getman2017","Gaia DR3 2207221046750954752",344.12181614822,62.66095166952,0,0,102,1636148068921376768,2207221046750954752,517339116,0.1486,0.1259,1.0788,0.1642,6.5679,2.469,-0.236,0.203,-2.458,0.156,-0.0717,0.0692,-0.007,-0.1948,-0.0179,-0.209,0.0916,-0.1555,0.0539,-0.1572,383,0,382,1,-1.0143,461.39,0.602,1.7001,95,FALSE,1.0969,1.0969,0.0386,0.128,0.021,0.088,0.003,-0.085,44,25,0.287101,53,0.02299,7.518,0,22,0.962,0,422,563.05763,1.73928,323.731,18.810986,0.00434,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92695594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",344.12181843235,62.6609625944,3.247823,2.490868,-0.1382,0.09676,110.161150595714,2.67464265128021,28.3218698910055,59.8808641485037,-1.26619255965325,-2.11995669811408,0.18509136601827,0.176879015786188,0.229229531060149,-0.0369539462646859,1.11575394626469
"Gaia EDR3 2206450868916628224",337.774816944444,65.1473444444444,"prisinzano2022","Gaia DR3 2206450868916628224",337.77412519126,65.14725136539,0,0,63,1636148068921376768,2206450868916628224,1082060170,0.1219,0.1151,1.2676,0.1324,9.574,3.533,-2.545,0.17,-2.451,0.149,0.0815,0.1633,-0.0781,-0.1778,0.0638,-0.2169,-0.0456,-0.0021,0.1218,0.1177,384,0,381,3,-1.2274,364.2,0,0,31,FALSE,1.246,NA,NA,NA,NA,NA,NA,NA,45,26,0.241622,50,0.01318,176.7,0,0,0.955,0,396,683.17491,1.58709,430.459,18.601038,0.003735,45,103.268,7.58825,13.6089,20.303633,0.07983,43,881.072,8.9231,98.7406,17.385366,0.011627,1.441,0,0,0,0,0,2.918266,1.702595,1.215672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999943,3523,3470.2,3574,4.5718,4.4885,4.6505,-0.3795,-0.472,-0.2886,0.7888923,457.1819,442.4864,478.4744,2.2811,2.2069,2.3586,1.467,1.418,1.5186,0.8818,0.8546,0.9118,"PHOENIX",337.77415210679,65.14726225732,2.728702,2.39924,0.1353,1.098976,108.869008294069,6.1810005058291,28.9352256170463,63.6050709377547,-3.44339324195591,-0.79212939678587,0.172502623968606,0.146095327522634,0.148077714826187,-0.0175720724708156,1.28517207247082
"Gaia EDR3 2922333921870291712",104.218469444444,-23.8841941666667,"prisinzano2022","Gaia DR3 2922333921870291712",104.21876440599,-23.88430989269,0,0,6,1636148068921376768,2922333921870291712,667461473,0.0692,0.1009,1.236,0.1257,9.8328,4.541,-2.653,0.093,3.685,0.132,0.0778,-0.0641,-0.1514,0.1782,0.0052,0.1943,-0.0721,0.0278,0.0863,0.1262,638,0,632,6,0.3664,679.33,0,0,31,FALSE,1.247,NA,NA,NA,NA,NA,NA,NA,75,29,0.184593,78,0.01945,115.9,0,0,1.01,0,630,802.13037,1.4403,556.918,18.426754,0.003375,69,148.469,6.85834,21.6479,19.909454,0.050232,70,1039.55,9.23757,112.535,17.205782,0.010362,1.481,0,1,0,0,0,2.703672,1.4827,1.220972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.997667,3373.9,3367.7,3380.9,4.0543,4.0367,4.073,-0.3419,-0.3691,-0.3095,0.8090615,913.9255,903.7012,927.2365,0.9446,0.911,0.9742,0.6003,0.5787,0.6191,0.4029,0.3894,0.4148,"MARCS",104.21877730158,-23.88432627162,1.494409,2.123465,0.1074,1.056537,234.981008182667,-9.51599792445651,109.002347927241,-46.3899140992705,-4.46898323794579,-0.803631021650859,0.120767716512691,0.107182828141033,0.140621572755575,-0.027380151843754,1.26338015184375
"Gaia EDR3 5614338991154278016",117.152904166667,-25.4319055555556,"prisinzano2022","Gaia DR3 5614338991154278016",117.15279683432,-25.43196434633,0,0,6,1636148068921376768,5614338991154278016,1690360689,0.0836,0.1308,2.3703,0.1773,13.3726,10.311,-8.322,0.108,6.087,0.167,0.093,0.0191,-0.2202,-0.0823,0.2465,-0.0455,-0.1877,0.1374,-0.008,0.0192,684,0,680,4,1.4352,770.67,0.252,0.38874,31,FALSE,1.255,NA,NA,NA,NA,NA,NA,NA,79,26,0.232975,80,0.01226,108.8,0,1,1.039,0,676,586.6578,0.827515,708.94,18.766405,0.003152,10,121.823,16.9659,7.18049,20.124218,0.151232,10,815.243,15.02,54.277,17.469677,0.020358,1.597,0,0,0,0,0,2.654541,1.357813,1.296728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999884,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42188752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",117.152837791,-25.43199140132,1.746963,2.700796,0.0251,0.408121,241.870008642102,0.150001850081693,126.039800409343,-45.5320576829579,-9.46192489788131,-4.09624586992209,0.153068231589085,0.126976834415536,0.198082088346859,-0.0244556744996116,2.39475567449961
"Gaia DR2 466126379665107456",45.0668769536514,60.6511787222567,"cantat-gaudin2020","Gaia DR3 466126379665107456",45.06687691594,60.65117876828,0,0,13,1636148068921376768,466126379665107456,1782460248,0.0141,0.0186,0.482,0.0255,18.8766,0.264,-0.074,0.023,0.254,0.029,0.1363,-0.0245,-0.2332,0.0904,-0.2233,0.103,-0.1653,-0.0901,0.115,0.0129,463,0,462,1,0.0897,470.84,0,0,31,FALSE,1.437,NA,NA,NA,NA,NA,NA,NA,53,21,0.040447,63,0.0373,3.26,0,0,1.002,0,535,18196.21637,6.79387,2678.33,15.037415,0.002785,58,7426.17,17.5266,423.709,15.66163,0.003788,56,15682.5,19.729,794.894,14.25936,0.004019,1.27,0,0,0,0,0,1.402269,0.624215,0.778054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,1,7871.3,7623,7938.4,3.6615,3.6287,3.6721,-0.3301,-0.3333,-0.3268,2.074689,2623.3752,2597.0295,2696.2632,2.5479,2.4241,2.5758,2.1343,2.02,2.1614,1.1628,1.0995,1.1781,"PHOENIX",45.06687758982,60.65117764109,0.369132,0.468902,0.0054,0.000179,138.081213829601,1.6259805222212,62.5030907687536,41.4301377519332,-0.185670864023684,0.188463073976571,0.024332511296641,0.0278913766960119,0.0344270937251014,-0.0304060392673358,0.512406039267336
